"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Drinking from the Talent Pool: A Resource Endowment Theory of Human Capital and Agency Performance","https://scispace.com/paper/drinking-from-the-talent-pool-a-resource-endowment-theory-of-201kwc25l2","2016","Journal Article","Public Administration Review","Manuel P. Teodoro
David Switzer","10.1111/PUAR.12571","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses resource endowment theory to link human capital quality to agency performance; provides empirical evidence from U.S. municipal water utilities; offers managerial implications but lacks Institutional Throughput or Systems Theory integration.","This article advances a resource endowment theory of human capital and performance in government organizations. Building on research on human capital and firm location in business economics and task complexity in public management, the authors argue that an agency's ability to implement policy is determined both by its scale and by the human capital of the population from which it draws its employees. The authors cast labor as a factor of production in public agencies and argue that access to higher-quality labor improves government effectiveness. The effect of human capital on performance is especially pronounced when agencies are charged with the implementation of technically complex tasks. The empirical subject is U.S. municipal water utilities’ compliance with the Safe Drinking Water Act. Comparing records of compliance with more and less complex regulatory requirements provides evidence consistent with the general model. The findings carry important implications for public management and policy design."
"Teoría general de sistemas: un enfoque estratégico para la planificación institucional","https://scispace.com/paper/teoria-general-de-sistemas-un-enfoque-estrategico-para-la-17d6wo5vga","2024","Journal Article","Revista Venezolana De Gerencia","Francisco Javier Andrade Domínguez
Juan Carlos Alarcón Gavilanes
Xavier Fernando Ortega Haro
José Luis González Márquez","10.52080/rvgluz.29.105.24","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses General Systems Theory to structure institutional planning; lacks Institutional Throughput Theory and human‑capital focus; touches on efficiency and offers quantitative clustering, but no case study or explicit policy‑friction analysis.","El propósito de este estudio es realizar un análisis crítico de los sistemas de planificación desde la perspectiva de la Teoría General de Sistemas (TGS) y su aplicación interdisciplinaria hacia enfoques estratégicos de la planificación institucional. Se emplea una metodología de tipo cuantitativa y cualitativa; para ello, se lleva a cabo un análisis clúster sobre un conjunto de variables representativas de las distintas dimensiones de los sistemas. Los resultados se respaldan en la validez del coeficiente de competencia para la elaboración de un esquema lógico y secuencial, fundamentado en la revisión de literatura especializada. Esta revisión se organiza en subcategorías mediante la utilización de un dendograma de variables, estableciendo relaciones entre los diferentes conceptos de la teoría de sistemas. Se resalta la viabilidad del diseño e implementación de sistemas, tanto en entornos naturales como artificiales. El análisis concluye, que, en el contexto de las organizaciones públicas, la planificación se ve inevitablemente influenciada por su entorno estratégico y operativo."
"Human capital: Tools and strategies for the public sector","https://scispace.com/paper/human-capital-tools-and-strategies-for-the-public-sector-1k6xt2ckec","2008","Book","","Sally Coleman Selden","","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses HCM concepts to discuss hiring, training, and performance, offering case examples and recommendations, but lacks Institutional Throughput or Systems Theory integration and formal modeling.","Take a sneak peak inside!Click on the link below to preview chapter one. Order your exam copy today by clicking on the ""Request an Exam Copy"" link above.Chapter 1With the shift from human resources to human capital management (HCM), public agencies are striving to strategically manage their workforces. Sally Selden s groundbreaking book moves far beyond describing best practices and offers the context in which innovative practices have been implemented. She details how agencies are creating performance-aligned workforces by adopting systems and policies that are driven by their strategic missions.This book covers core topics of personnel courses including hiring, training, retention, performance, and recognition but also includes integrated coverage on measuring success through assessment. Further helping readers grasp how HCM works, the book uses original data from the Government Performance Project and incorporates many comparative examples across a wide range of states, plus federal and municipal agencies. Unlike anything else available, Human Capital fills a critical gap for both students and public personnel professionals."
"African bureaucracy and public administration: Analysing the normative impediments and prospects","https://scispace.com/paper/african-bureaucracy-and-public-administration-analysing-the-19qslxhilx","2019","Journal Article","Africa’s Public Service Delivery and Performance Review","Chinyeake J. Igbokwe-Ibeto","10.4102/APSDPR.V7I1.323","https://scispace.com/pdf/african-bureaucracy-and-public-administration-analysing-the-19qslxhilx.pdf","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to describe interdependent subsystems in African bureaucracy; mentions inefficiencies and barriers but lacks throughput theory, human‑capital focus, empirical data, or formal modelling.","Background: Public perception of bureaucracy and public administration is key to determining how much they can accomplish in a given environment. The pejorative view of bureaucrats and public administrators is not restricted to Africa. Although they are sometimes seen as one and the same, analytically they can be divorced. Aim: Within the framework of system theory, this article analysed the interface between African bureaucracy and public administration with the aim of identifying its impediments and prospects. Setting: Relevant sources of this research were fairly and professionally scrutinised, understood and tested with the available literature for the research purpose. Inter alia , it included scan-reading, comprehensive and critical reading and writing down ideas. Authoritative scholarly sources were reviewed during a desktop study. The purpose was to identify the relevant publications and apply them in the research. Methods: This article utilised qualitative research design and descriptive methods to gain an insight into the nature and character of African bureaucracy and public administration. It is also exploratory because the article attempts to explore the nexus between African bureaucracy and public administration. Result: This article argues that African bureaucracy is losing its potency and ability to give intellectual leadership to public administrators. Bureaucrats in the field rely too much on discretion that often does not sit well with the people and result in poor service delivery. Conclusion: It therefore concludes that the poor state of affairs in African bureaucracy could change if the bureaucracy opens up to administrative reforms, particularly those that add value to their activities and actions. In this era of globalisation, international best practices should be domesticated."
"Introducing Systems Thinking into Public Sector Institutions: Learning by Doing?","https://scispace.com/paper/introducing-systems-thinking-into-public-sector-institutions-158updbmew","2020","Component","","Piret Tõnurist
Elena Rovenskaya
Reinhard Mechler
Ulf Dieckmann
Fabian Wagner","10.1787/3A9ACAA6-EN","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems thinking to make interconnections visible in public agencies; offers recommendations on fostering systemic policymaking, notes barriers, but lacks Institutional Throughput Theory, human‑capital focus, empirical case, or formal modelling.","The need to overhaul systems thinking in public sector management is discussed. While systems thinking as the methodology behind purpose‑driven change could be used to accomplish missions, the public sector is not necessarily interested or ready to use it for that. Systems thinking inside the public sector is generally a ‘sense-making’ tool to make interconnectedness visible (usually with the help of outside experts) rather than a day-to-day practise that helps guide everyday action and decision-making. Even if policy makers as individuals are systems thinkers, it does not mean the policies they design are systemic; one needs institutions to support systems policymaking. OECD’s and IIASA’s work shows that public sector leaders face an uphill battle: there is little clarity on who should promote systems thinking in public organisations and who should assure their capacity."
"Reforming public sector: Facing the challenges of effective human resource development policy in Ghana","https://scispace.com/paper/W6HiBFnUns4J","","","","KB Antwi
F Analoui","","https://www.emerald.com/jmd/article-pdf/27/6/600/1633724/02621710810877848.pdf","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses open systems theory to discuss HR development and performance issues, but lacks Institutional Throughput Theory integration, formal modeling, empirical case data, or explicit policy recommendations.",""
"Enhancing performance through public sector networks: Mobilizing human capital in communities of practice","https://scispace.com/paper/enhancing-performance-through-public-sector-networks-2ag0rwwii3","2008","Journal Article","Public Performance & Management Review","Robert Agranoff","10.2753/PMR1530-9576310301","","- **Relevance Score:** 16/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses network case studies of 14 intergovernmental groups to illustrate connective human capital and performance outcomes; lacks Institutional Throughput or Systems Theory integration, and does not model dynamics or compare frameworks.","Important performance outcomes of public management networks are examined, based on a study of 14 intergovernmental networks comprised of administrators and program specialists. The key to performance is based on the application of connective human capital. Collaborative public value is added as network actors pursue those knowledge-building actions related to solving interagency problems. Performance outcomes are examined from individual administrator, partner agency, network process, and tangible results perspectives. Specific project outcomes of each network are illustrated. Finally, the importance of networks as communities of practice for achieving collaborative outcomes is demonstrated as a key public management process."
"Strategic human resource practices: Introducing alternatives for organizational performance improvement in the public sector","https://scispace.com/paper/strategic-human-resource-practices-introducing-alternatives-1d5kzblpng","2010","Journal Article","Public Administration Review","Jungin Kim","10.1111/J.1540-6210.2009.02109.X","","- **Relevance Score:** 16/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses public‑sector HR data to link merit rewards with perceived performance, offering empirical insights and practical HR suggestions, but lacks Institutional Throughput or Systems Theory integration and formal modeling.","Can public sector organizations increase productivity through competition in spite of inherent limitations, such as budget constraints? This study addresses that question by examining the impact of four factors that contribute to employees’ expectations regarding competitive work environments on organizational performance in terms of overall quality of work and client satisfaction. The four factors measured include rewards for merit such as salary and benefits, opportunities, organizational rules, and the capacity to deal with risks as perceived by employees. Using data on public and nonprofit sector employees, expectations for merit rewards were positively related to employees’ perception of organizational performance when the conditions of performance-based organizational rules and risk-taking behaviors were also satisfied. Moreover, employees’ perceptions of organizational performance tended to increase when they felt that organizational rules were oriented toward performance plus organizational members and top leaders exhibited greater risk-taking behaviors. However, no correlation was evident between employees’ expectations of opportunities and perceived organizational performance."
"Strategic human capital and the performance of public sector organizations","https://scispace.com/paper/strategic-human-capital-and-the-performance-of-public-sector-3ne9wqwwpu","2004","Journal Article","Scandinavian Journal of Management","Abraham Carmeli","10.1016/J.SCAMAN.2003.11.003","","- **Relevance Score:** 16/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses strategic human capital to discuss public‑sector effectiveness and offers policy recommendations, but lacks Institutional Throughput or Systems Theory integration, empirical case data, and modeling.",""
"The Effects of Information Communication Technology on Administrative Efficiency of Tamale Technical University","https://scispace.com/paper/the-effects-of-information-communication-technology-on-62hxiltv","2023","Journal Article","American Journal of Industrial and Business Management","Abdul-Razak Abubakari","10.4236/ajibm.2023.135025","https://scispace.com/pdf/the-effects-of-information-communication-technology-on-62hxiltv.pdf","- **Relevance Score:** 16/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Systems Theory to frame ICT impact on university admin; provides empirical case at Tamale Technical University with recommendations, but lacks Institutional Throughput Theory integration, human‑capital conversion analysis, and policy‑friction discussion.","The aim of the study was to assess the effect of Information Communication Technology (ICT) on administrative efficiency using the Tamale Technical University (TaTU) as a study area. A descriptive quantitative design was adopted. The total population was stratified into teaching and non-teaching and samples were drawn from each stratum by the method of purposive sampling and a total of 214 respondents were arrived and used for this study. Structured questionnaire was used in collecting data. The study found that TaTU has deployed ICT in administrative functions to some extent even though the ICT logistics are still not available in offices for the administrative functions. The deployment of ICT at the administrative functions improves efficiency and effectiveness. The study however revealed: the lack of human resource management software as well as antivirus software; the lack of proper maintenance; inadequate budget allocations; lack of in-service trainings; using different brands of ICT logistics; and unstable internet connections are the challenges bedeviling the ICT deployment in the University. Standardized brands of modern ICT facilities need to be provided together with reliable internet facilities at all times to avoid unnecessary interruptions which affect efficiency. The maintenance culture of the ICT logistics should also be improved and training of in-service personnel on the usage of the ICT facilities to help ensure their efficient utilization in the University. "
"Improving the efficiency of public service through strategic human capital management: a comprehensive review of the literature","https://scispace.com/paper/improving-the-efficiency-of-public-service-through-strategic-6dnccm92b6ur","2024","Journal Article","Статистика, учет и аудит","D. Fazylzhan","10.51579/1563-2415.2024.-3.05","","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses literature review to discuss human capital practices and barriers, but lacks Institutional Throughput or Systems Theory integration, empirical case, or formal modeling.","The article provides an overview of the literature on human capital management in the public sector with an emphasis on theoretical foundations, modern practices and problems. Human capital management is critical for the effectiveness of government organizations. The main theories are the resource-based approach and the theory of human capital, which emphasize the importance of staff development. Literature analysis identifies key practices such as technology adoption, training programs, and strategic alignment of reward systems, as well as problems in their implementation, including bureaucratic resistance and financial constraints. The article highlights the importance of strategic human capital management for the success of the public sector and suggests directions for future research. "
"Systems approaches to public service delivery: methods and frameworks","https://scispace.com/paper/systems-approaches-to-public-service-delivery-methods-and-2g6orep9wm","2023","Journal Article","Journal of Public Policy","Zahra Mansoor
Martin J. Williams","10.1017/s0143814x23000405","https://scispace.compdf/systems-approaches-to-public-service-delivery-methods-and-2g6orep9wm.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to typologize micro‑systems approaches for public service delivery; touches on efficiency and implementation barriers but lacks Institutional Throughput Theory, human‑capital focus, empirical cases, modeling, or concrete policy guidance.","
 Researchers and practitioners are increasingly embracing systems approaches to deal with the complexity of public service delivery and policy evaluation. However, there is little agreement on what exactly constitutes a systems approach, conceptually or methodologically. We review and critically synthesize systems literature from the fields of health, education, and infrastructure. We argue that the common theoretical core of systems approaches is the idea that multi-dimensional complementarities between a policy and other aspects of the policy context are the first-order problem of policy design and evaluation. We distinguish between macro-systems approaches, which focus on the collective coherence of a set of policies or institutions, and micro-systems approaches, which focus on how a single policy interacts with the context in which it operates. We develop a typology of micro-systems approaches and discuss their relationship to standard impact evaluation methods as well as to work in external validity, implementation science, and complexity theory."
"Optimizando la Teoría General de Sistemas: Un Enfoque Centrado en la Planificación","https://scispace.com/paper/optimizando-la-teoria-general-de-sistemas-un-enfoque-z3iwtoqjlh","2024","Journal Article","Revista Científica Ciencia y Tecnología","Francisco Javier Andrade Domínguez
Deborah Pérez Morfi","10.47189/rcct.v24i41.640","https://scispace.compdf/optimizando-la-teoria-general-de-sistemas-un-enfoque-z3iwtoqjlh.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to discuss institutional planning in public administration, but lacks Institutional Throughput Theory integration, human‑capital focus, empirical case, or modeling. Offers general policy suggestions without detailed efficiency analysis.","El objetivo de esta investigación consiste en examinar los sistemas de planificación y sus procedimientos homeostáticos, con el objetivo de comprender cómo se estructuran y regulan parcial o completamente, en función de la organización pública o privada, para lograr similitudes en la consecución de metas. Las contribuciones teóricas de este estudio se centran en la conceptualización de la teoría de sistemas y los isoformismos. La metodología empleada permite la identificación, selección y análisis de fuentes de información de manera sistemática, en relación con la teoría general de sistemas. La metodología es de tipo cuantitativa, los resultados se basan en la creación de un esquema lógico y secuencial, utilizando un dendrograma de variables que facilita la eliminación de redundancias entre los diversos conceptos examinados. Las conclusiones obtenidas a partir de esta investigación confirman que las organizaciones públicas son entidades dinámicas y cambiantes que se ven inevitablemente influenciadas por su entorno operativo. La novedad científica de este estudio radica en el desarrollo de una metodología para formular sistemas de planificación basada en la teoría general de sistemas, alineada con la planificación institucional y enfocándose en los objetivos institucionales de una institución pública. "
