"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings and Outcomes"
"What Makes Employees Productive and Have High Performance? Human Capital Investment in Universities","https://scispace.com/paper/what-makes-employees-productive-and-have-high-performance-4ubn8nagxx","2020","Journal Article","","Fitri Nurmahmudah
Eka Cahya Sari Putra","10.9734/AJESS/2020/V11I130281","https://scispace.com/pdf/what-makes-employees-productive-and-have-high-performance-4ubn8nagxx.pdf","- **Relevance Score:** 51/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human‑capital theory to assess education ROI; quantifies costs and benefits; discusses wage and productivity impacts but lacks direct public‑sector workforce data, limiting full integration.","The study describes the evaluation results concerning the improvement of the education levels among the employees of a university in Indonesia by making an investment in education. The study is aimed at investigating the employees’ productivity and performance after making an investment in education. This study with evaluation method using discrepancy model. The sample of the study consisted of 255 non-academic university employees. Data were collected by way of a questionnaire on Guttmann scale. The questionnaire was validated by using logical and empirical validation by a Pearson correlation technique and reliability by KR-20 technique. The data analysis with descriptive. To calculate the capital human investment, the human capital investment formula was used for finding payback period, benefit/cost ration, return-on-investment, net-present-value, and internal-rate-of-return. The results of the study showed that the employees who made human capital investment in education were able to increase their productivity and performance as their insights, knowledge, and skills improved. The research findings were able to give insights to leaders in high-level institutions or government institutions that investing in education is truly essential, needs more attention, and needs to be done by employees. Original Research Article Nurmahmudah and Putra; AJESS, 11(1): 21-36, 2020; Article no.AJESS.60925 22","The study found that human capital investment in education for university employees increased productivity and performance, improving insights, knowledge, and skills. Empirical results showed a payback period of 1 year, 7 months, and 9 days for an investment of IDR 40,650,000. The B/C Ratio was 1.48, indicating profitability, and the Internal Rate of Return (IRR) was 12.50%, exceeding the capital cost. Education investment led to increased income and improved employee qualifications."
"Measuring investments in human capital with emphasis on rates of return to college educated males and females","https://scispace.com/paper/IiqJvR_13HsJ","","","","GT Ihorn","","","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital theory to estimate wage returns for college‑educated males and females; quantifies education costs and ROI; lacks public‑sector program context.","","The paper uses human-capital theory to estimate wage returns for college-educated males and females, employing return analysis, cost-benefit analysis, and cost-effectiveness analysis. It quantifies education costs and evaluates return on investment (ROI) in terms of wage theory and marginal productivity theory, also noting economic returns to health investments."
"Eğitim yatırımlarının getirisi: Anadolu Üniversitesinin sosyal bilimler alanında eğitim veren fakülte mezunlarına yönelik bir araştırma","https://scispace.com/paper/egitim-yatirimlarinin-getirisi-anadolu-universitesinin-5erbdyxa1c","2012","Posted Content","Anadolu University Journal of Social Sciences","Ceyda Erden Özsoy
Arda Sürmeli","","","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital theory to assess private ROI of university degrees, applies internal rate of return cost‑benefit analysis, and reports wage‑based returns; does not address public‑sector workforce programs or link ROI to public‑sector productivity.","Education is one of the most important elements of human capital that determines economic development at macro level and individual income at micro level. For this reason, spending on education is an investment, whether it is done by individuals or by the state. Evaluation of education as an investment brings the question to mind-""What is the return on this investment, compared to other alternative investments?"" Return on investments in education is calculated by taking into consideration the education expenditures made during the training, opportunity cost of time spent on education and expectations of future returns. The purpose of this study is to calculate the private rate of return on their investment for the university training of graduate students from faculty of humanities, faculty of education, faculty of law, faculty of communication sciences and faculty of economics and administrative sciences providing education at the undergraduate level of Eskisehir Anadolu University. For this purpose, a survey was made to those who has graduated from these faculties between the years 1999-2009 and the return on higher education were calculated in respect to the data obtained. A cost-benefit analysis method was used for calculating the internal rate of return. As a result of research, among related faculties, the highest return on education investment was found to be law school faculty. Respectively faculty of communication sciences, faculty of economic and administrative sciences, faculty of education and faculty of humanities followed this.","The study calculated the private rate of return on university training for graduates from specific Anadolu University faculties. Using a cost-benefit analysis, the highest return on education investment was found in law school, followed by communication sciences, economic and administrative sciences, education, and humanities. This empirical result highlights varying returns across social science disciplines."
"Economic effectiveness of investment in higher education: an evaluation at the individual and national levels","https://scispace.com/paper/economic-effectiveness-of-investment-in-higher-education-an-6oqc4t8upkqw","2024","Journal Article","Euromed Journal of Business","Gindrute Kasnauskiene
Rokas Badaras
Rasa Paulienė
Alkis Thrassou","10.1108/emjb-12-2023-0334","","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Mincer earnings equation and discounting to quantify individual and national ROI of higher education, but does not target public‑sector workforce programs or link ROI to public‑sector productivity.","Purpose This study evaluates the economic effectiveness of higher education in Lithuania by measuring returns to investment in higher education for both individual university graduates and the state, particularly aiming to discover how higher education investments impact economic returns at both micro (individual) and macro (national) levels. Design/methodology/approach A dual methodological approach has been applied, utilizing both the Mincer earnings equation and the full discounting method, to draw a clear distinction between the returns enjoyed by individuals and those accrued to the country. Calculations for individual economic returns are done using the most recent available Lithuanian Department of Statistics data on the wage structure, while national return on education was based on the State Tax Inspectorate and Lithuanian Public Finance databases. Findings The research confirms that Lithuanian investments in education positively influence both individual earnings and society at large, mainly due to the low cost of education and the high returns. For individuals, net present value varies from €126,000 to €224,000, and the internal rate of return is from 7% to 46%, with the highest return being for males working in companies of 50–249 employees and holding a bachelor’s degree. It is also noteworthy that one additional year spent in education increases earnings on average by 4.1%. The financing of first cycle studies costs the state two times less than second and third cycle studies. For this reason, the net present value (NPV) and internal rate of return (IRR) of first cycle studies are higher than those of second and third cycle studies. Originality/value While higher education is generally and globally seen as a way to ensure financial stability and career advancement at the individual level and socioeconomic development at the national one, the question of cost versus benefits at both levels is principal and diachronic. Our research quantifies the NPV and IRR of education investments and highlights the differential economic returns of various education levels, where policymakers can utilize these insights to inform strategic decisions regarding education funding and resource allocation. This study, therefore, provides explicit quantitative answers and presents individuals and policymakers with tangible results and practicable direction in their decision-making. The findings are applicable to the specific country-focus, but also constitute an applicable case study in the international context, particularly for European and other countries of comparable economic structure and developmental stage. ","Lithuanian higher education investments positively influence individual earnings and society, yielding individual net present values from €126,000 to €224,000, and internal rates of return from 7% to 46%. One additional year of education increases earnings by 4.1%. First-cycle studies offer higher NPV and IRR due to lower state costs. These findings quantify economic effectiveness at micro and macro levels."
"The use of cost-benefit analysis in guiding investments in human capital in elementary and secondary school","https://scispace.com/paper/0u5Z84hPq2cJ","","","","CR Belfield","","https://www.cbcse.org/s/Guiding-Investments-in-Human-Capital.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital framework to assess K‑12 investment costs and ROI, measuring labor‑market returns; lacks public‑sector workforce‑development context and integrated public‑sector ROI analysis.","","The report reviews cost-benefit analysis literature for K-12 investments, using a human-capital framework. It measures labor market returns, with further inquiry needed for teacher productivity and special education. The paper implicitly counts labor market returns, indicating a focus on economic outcomes of education investment."
"Returns to education : an updated international comparison","https://scispace.com/paper/returns-to-education-an-updated-international-comparison-1kl86p34r2","1981","Journal Article","Comparative Education","George Psacharopoulos","10.1080/0305006810170308","https://www.jstor.org/stable/pdfplus/3098688.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital framework to estimate education ROI across 44 countries, quantifies private and social returns, but does not target public‑sector workforce programs or link ROI to public‑sector productivity.","The question of the profitability of investing in human capital remains controversial. Three main methods for estimating the rate of return to investment in education are described: the elaborate method, the earnings function method, and the short-cut method. Application of cost-benefit analysis measures in 44 countries yields four patterns that have important policy implications: (i) top priority should be given to primary education as a form of human resource investment due to high returns, both social and private; (ii) secondary and higher education should also be pursued in a program of balanced human resource development; (iii) the larger discrepancy between the private and social returns in higher education indicates room for private finance at the university level; and (iv) falling returns to education that result as a country develops and/or the capacity of its educational system expands are minimal under time-series analysis and do not warrant abandonment of educational expansion.","Cost-benefit analysis in 44 countries reveals high returns to primary education, advocating it as a top priority for human resource investment. Secondary and higher education are also crucial for balanced development. A larger discrepancy between private and social returns in higher education suggests room for private finance. Falling returns to education due to development or system expansion are minimal and do not warrant abandoning expansion."
"Reimagining the Workforce Development and Employment System for the 21st Century and Beyond","https://scispace.com/paper/reimagining-the-workforce-development-and-employment-system-3z9obxditl","2019","Book","","Melanie A. Zaber
Lynn A. Karoly
Katie Whipkey","10.7249/RR2768","https://scispace.com/pdf/reimagining-the-workforce-development-and-employment-system-3z9obxditl.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital lens to discuss costs, benefits, and information gaps; outlines public‑sector workforce system but lacks quantitative ROI or measured productivity impacts.","Although nearly two decades have elapsed since the turn of the 21st century, the U.S. approach to education, training, and workforce development still largely operates on a 20th-century model. To address this, RAND Corporation researchers developed a systems-level, blue-sky approach to conceptualizing and visualizing features and functions of a 21st-century U.S. workforce development and employment system.","The current workforce preparation system, a linear K-12 to college to job pipeline, is largely unchanged despite significant demographic, technological, and globalization shifts. This results in shortfalls, such as a lack of clear retraining pathways for workers with obsolete skills and employers struggling to find workers with desired 21st-century skills. The United States needs an integrated, data-driven system to ensure equitable access to in-demand skills and timely matching of skilled workers with jobs. This transformation requires relevant data and metrics, tools for innovative solutions, rigorous testing, and mechanisms for dissemination and refinement."
"Returns to investment in education : a decennial review of the global literature","https://scispace.com/paper/returns-to-investment-in-education-a-decennial-review-of-the-2px57e9hbi","2018","Posted Content","Research Papers in Economics","George Psacharopoulos
Harry Anthony Patrinos","","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital theory to compile 1,120 global return estimates, quantifies average private and social returns, but lacks detailed cost data and public‑sector program focus.","Returns to investment in education based on human capital theory have been estimated systematically since the 1950s. In the 60-plus year history of such estimates, there have been several compilations in the literature. This paper reviews and highlights the latest trends and patterns based on a database of 1,120 estimates in 139 countries. The review shows that the private average global rate of return to one extra year of schooling is about 9 percent a year and very stable over decades. Private returns to higher education have increased over time, raising issues of financing and equity. Social returns to schooling remain high, above 10 percent at the secondary and higher education levels. Women continue to experience higher average rates of return to schooling, showing that girls'education remains a priority. Returns are higher in low-income countries. Those employed in the private sector of the economy enjoy higher returns than those in the public sector, lending support to the productive value of education.","The paper reviews 1,120 estimates across 139 countries, finding the private average global rate of return to one extra year of schooling is about 9 percent annually and stable. Social returns remain high, above 10 percent at secondary and higher education levels. Private returns to higher education have increased. Women experience higher average returns, and returns are greater in low-income countries and the private sector."
"Investment in education: measuring private and public returns","https://scispace.com/paper/investment-in-education-measuring-private-and-public-returns-594atta25o","2004","Proceedings Article","","E.A. Gershanovich","10.1109/KORUS.2004.1555729","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital framework to explain earnings and productivity gains; conducts cost‑benefit analysis of education; quantifies private returns. No focus on public‑sector programs or integrated public‑sector ROI analysis.","Investment in education is one of the most important factors of the social and economic development of modern countries This work examines the concept of human capital and analyses the returns on investment in education Investment in education is a capital investment that ensures higher productivity in the economy To measure the return on the educational investment, the cost-benefit analysis is usually used It implies the enumeration and evaluation of all the relevant costs and benefits Estimates show that return on the investment in education is higher then return on the investment in physical capital Education investment has both private and public returns - it benefits both individuals and society Increasing the years of schooling, training, and experience of workers has a significant effect on the earnings of the individuals Individuals with more human capital tend to be very efficient at their employment search, and less suffer from unemployment People with high level of education have high labour productivity that, finally, increases the profit of the firm and its market value Investment in education is very important for the society as a whole it contributes to the economic growth of a country","Investment in education yields higher returns than physical capital. It enhances human capital, improving individual earnings, employment search efficiency, and reducing unemployment. High education levels increase labor productivity, firm profit, and market value, contributing to economic growth. The cost-benefit analysis is used to measure this return."
"School to work transition in Serbia: Returns to investment in education of youth","https://scispace.com/paper/school-to-work-transition-in-serbia-returns-to-investment-in-4kj0d91xu6","2018","Journal Article","Industrija","Nemanja Vuksanović
Ljubinka Joksimovic
Dragan Aleksic","10.5937/INDUSTRIJA46-16199","https://scispace.com/pdf/school-to-work-transition-in-serbia-returns-to-investment-in-4kj0d91xu6.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital theory to estimate ROI of youth education in Serbia, quantifies returns and wage effects, but does not address public‑sector programs or link ROI to public‑sector productivity.","The subject of the paper is estimation of a rate of return to investment in education of youth in Serbia. The aim of the paper is to determine, on the basis of the data from the School to Work Transition Survey (SWTS) from 2015, a premium for the education of persons from 15 to 29 years old. A rate of return to investment in education for youth is estimated using the least squares method and using the instrumental variables method. As the instruments for a variable that refers to the number of years of education were used a father’s level of education and a mother’s level of education.The results of the assessment using the least squares method indicate that a rate of return to investment in education for youth in Serbia is 5.2%. The value of the coefficient in the case of evaluation by the instrumental variables method is twice as big as in the case of the least squares method. It is confirmed that in the case of the assessment using the least squares method we get a biased assessment. This result also suggests that schooling of children in Serbia continues to serve as a family characteristic, and informs that the education system in Serbia cannot provide a fair access to schooling for those children coming from socio-economic vulnerable families.","The paper estimates a 5.2% return on investment in youth education in Serbia using the least squares method, increasing to 9.3% with instrumental variables, indicating a biased assessment in the former. Education significantly influences human capital and labor market outcomes, with males earning 4.4% more and urban residents 3.5% more. These findings suggest schooling remains a family characteristic, limiting fair access for socio-economically vulnerable youth."
"How To Measure The Economic Return Of Education","https://scispace.com/paper/how-to-measure-the-economic-return-of-education-39lz1hvx50","2024","Journal Article","","Prof. Alotaibi Mohamed Meteb","10.53555/kuey.v30i5.3236","https://scispace.compdf/how-to-measure-the-economic-return-of-education-39lz1hvx50.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses human‑capital theory to quantify education ROI, measures wage and productivity gains, but lacks public‑sector program context and integrated public‑sector ROI analysis.","This research aims to explain the different ways to measure the economic return from education by comparing individual and social incomes with the educational levels of individuals. There are many methods that can be used to measure the economic return from education, the most important of which are the simple correlation method, the residual income method, and the direct rate of return method for education. The descriptive analytical approach was used to measure the economic return from education and to analyze the return and cost of education. There are many studies that have attempted to measure the economic return from education with the aim of determining the economic value of education represented by the income or wage that the educated individual receives, is this income primarily due to education or are there other factors that affect income generation. Previous studies in measuring the economic return from education have reached important results, a higher level of education leads to increased productivity and higher income. Through analyzing the return and cost of education, the economic return from education is greater than the expenditure on it, and its investment return may exceed many other economic projects. Education also has a social return, both for individuals and society. ",""
