"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"The Effects of Information Communication Technology on Administrative Efficiency of Tamale Technical University","https://scispace.com/paper/the-effects-of-information-communication-technology-on-62hxiltv","2023","Journal Article","American Journal of Industrial and Business Management","Abdul-Razak Abubakari","10.4236/ajibm.2023.135025","https://scispace.com/pdf/the-effects-of-information-communication-technology-on-62hxiltv.pdf","The aim of the study was to assess the effect of Information Communication Technology (ICT) on administrative efficiency using the Tamale Technical University (TaTU) as a study area. A descriptive quantitative design was adopted. The total population was stratified into teaching and non-teaching and samples were drawn from each stratum by the method of purposive sampling and a total of 214 respondents were arrived and used for this study. Structured questionnaire was used in collecting data. The study found that TaTU has deployed ICT in administrative functions to some extent even though the ICT logistics are still not available in offices for the administrative functions. The deployment of ICT at the administrative functions improves efficiency and effectiveness. The study however revealed: the lack of human resource management software as well as antivirus software; the lack of proper maintenance; inadequate budget allocations; lack of in-service trainings; using different brands of ICT logistics; and unstable internet connections are the challenges bedeviling the ICT deployment in the University. Standardized brands of modern ICT facilities need to be provided together with reliable internet facilities at all times to avoid unnecessary interruptions which affect efficiency. The maintenance culture of the ICT logistics should also be improved and training of in-service personnel on the usage of the ICT facilities to help ensure their efficient utilization in the University. ","Theory: Owing to the gaps left by the organizational theory in trying to explain how we can achieve administrative efficiency, other theories emerged. Notable amongst them are Systems theory and Technology Acceptance Model. These theories will be looked at in the ensuing sections. Systems Theory:
 Systems theory was propounded in 1920 by Bertalanffy. It is also a useful theory to our study. The organization is viewed as a system made up of interconnected and interdependent pieces in which the interaction of any portion of the system impacts the entire system, according to systems theory. As a result, in order for one portion of the system to work well, it must interact with and rely on the other elements in the system. Because the concept of interaction and interdependence of pieces within the education system, like all other social systems, has same qualities, systems theory can be said to be applicable to education. A system must be viewed as a whole . A system can either be closed or open. A closed system has the tendency to run down whiles an open system does not. If an open system has to survive, it must be able to use up enough input from the environment to offset its output, as well as the energy and the material used in running the system. For a dynamic equilibrium to be achieved there has to be a feedback system-the systems theory flow chart is represented in Figure  below. People, materials, money, and information are all inputs that an organization receives from society. It then translates these inputs into products and services as outputs. Money and the market provide a way for groups to recycle resources. Systems Theory:
 The system reveals critical variables and other interaction with one another in any problem. The system makes us conscious of the fact that a single problem should not be treated with regard to consequences or other relating systems. Researchers have been grappling with systems and components in terms of their contents and relative dynamics since Aristotle's contention that knowledge is gained from understanding of the whole rather than individual parts (Aristotle's Holism). During the last century, this historic endeavor evolved into what is now known as ""systems theory"" . Systems Theory:
 Systems theory is an interdisciplinary theory that applies to all systems in nature, society, and many scientific areas, as well as a framework for investigating events from a holistic perspective. The shift of attention from the part to the whole is systems thinking , considering observed reality as an integrated and interacting unicum of occurrences, in which the particular qualities of the separate components become obscure. The relationships between the parts themselves and the events they cause as a result of their interaction, on the other hand, become considerably more essential, resulting in ""system elements being rationally coupled"" towards a common goal . The systemic perspective argues that we are not able to fully comprehend a phenomenon simply by breaking it up into elementary parts and then reforming it; we instead need to apply a global vision to underline its functioning. In the educa- systems theory is that it regards an organization as having been made of several different units or parts that interact to achieve set goals but does not specify the roles of each unit or part. Also, according to , systems theory is too prone to generalizations and reduces the organization to a mechanical work. Thus, the theory works on the assumption that the organization is me-"
"Corporate Strategy, Governance Structure and Organization Performance: A Research Agenda","https://scispace.com/paper/corporate-strategy-governance-structure-and-organization-300o6loxv2","2018","Journal Article","Business and Management Research","Fatuma B. Omar
James M. Kilika","10.5430/BMR.V7N2P49","https://scispace.com/pdf/corporate-strategy-governance-structure-and-organization-300o6loxv2.pdf","Corporate strategy plays a critical role in the proper functioning of an organization as it provides the blueprint that guides the corporate direction of an organization while governance structure presents an organization with a framework for the distribution of responsibilities and resources to achieve organization performance. While the constructs have been sufficiently studied and documented in various studies separately in relation to organization performance, few studies have been undertaken to study the two constructs together to understand how they jointly explain organization performance. This paper presents a review of the extant theoretical and empirical literature on the two constructs in relation to organization performance. Relevant underpinning theories are reviewed, constructs described and their operational indicators identified and compared with empirical work and emergent knowledge gaps identified. The paper finally proposes a multidisciplinary based theoretical model suitable to address the gaps identified to advance knowledge in the area and calls upon future research to empirically test the propositions of the study.","when they perceive unfair treatment, they punish it often at a cost to themselves through negatively reciprocal behaviors and thus principal-agent relations in an organization stand to influence its performance. This theory informs the constructs of corporate strategy and governance structure and eventually the organization performance. Institutional Theory:
 Institutional theory postulates that organization corporate executives often make reference to norms and traditions applied in their industry to propose and formulate corporate policies to direct and control their entity . The theory fronts the principles where systems are developed and adopted as guidelines to direct organizational behavior and norms. It explains how elements of organizational systems are created, adapted and eventually become obsolete.  argued that institutional theory emphasizes formal and legal aspects of governance structures. According to , institutional theory is a widely accepted theoretical framework that postulates rational myths and legitimacy. Institutional Theory:
 The roots of institutional theory can be traced from the studies of economics, politics and sociology. Institutional theory focuses on the environmental factors experienced by an organization such as external or societal norms, rules, and requirements that organizations must conform to, in order to receive legitimacy and support. The theory depends heavily on the social constructs to help define the structure and processes of an organization. It postulates that society as a whole plays a vital role in determining the legitimacy of an organization and has much more power in the operations of an organization. It asserts that the institutional environment can strongly influence the development of formal structures in an organization, often more profoundly than market pressures. Institutional Theory:
 Institutions are social structures that have attained a high degree of resilience. They are composed of cultural-cognitive, normative, and regulative elements that, together with associated activities and resources, provide stability and meaning to social life. According to the political and historical branches of institutional theory, institutions are emergent higher order factors above the individual level constraining or constituting the interests and political participation of actors. Thus institutions are formal or informal procedures, routines, norms and conventions in the organizational structure of the polity or the political economy. The sociological branch adds a cognitive script, moral templates and symbolic systems that may reside at suprastate or supraorganizational levels. Institutional theory underpins that for corporate strategy and governance structure to work and result in organizational performance, institutions must have proper systems, cultural settings and good governance structure. Upper Echelon Theory:
 The theory was advanced by  and it postulates that organizational strategic choice, performance level and outcomes are partly determined by managers' characteristics and backgrounds. The theory was updated and the concept of managerial discretion was introduced .  updated the theory to include more elements of top management attributes in an organization. The theory is applied in human capital management and helps in hiring new corporate managers. The theory has two interlocked assertions; executives act based on their personal interpretations of the strategic scenario they counter and these personal construals are attributes of the top managers' values, personalities and experiences. Equally, the theory is anchored on the foundation of bounded rationality  emphasizing the fact that information complexity and uncertainty are not objectively 'knowable' but are simply interpretable. The theory postulates that for organizations to perform effectively, top management team must apply their values, personalities and experiences in order to influence their understanding of the situations they counter and in turn affects their strategic choice and other similar human factors. Thus corporate strategy and governance structure and eventually organization performance are impacted."
"Research and Planning for Higher Education.","https://scispace.com/paper/research-and-planning-for-higher-education-4i0tatfxra","1978","","","Robert H. Fenske
Paul J. Staskey","","https://scispace.com/pdf/research-and-planning-for-higher-education-4i0tatfxra.pdf","","theories can help policy makers to be more efficient in the utilizatior of resources and more effective in the accomplishing of objectives. A clear notion of the major theories provides a strong base from which to attack the efficiency questions faced by institutional administrators. RECENT ADVANCES IN ECONOMIC THEORY: THEIR RELEVANCE TO EDUCATIONAL POLICY:
 It is usually assumed that planners are dear about university outputs as well as inputs, that they understand both the purposes of higher education and the processes involved in achieving them. Every adniinistrator and each academic has a theory of education; that is, what its objectives are and how those-objectives are reached. The traditional vices, on which most of modern higher education rests; is called by economists the human capital approach It holds that education improves individuals by making them more productive and that individuals undertake education beyond school because it offers increased lifetime earnings (arising from enhanced productivity). An investmen. in human capital pays off in the future, just as does a worthwhile investment in physical capital. Education is a good thing because it changes individuals in socially desirable ways and enables those individuals to increase social net output more than would otherwise be the case. Individual output (and, therefore, income) is enhanced; but spillover effects magnify the impacts of education even more. The trained physician not only enjoys a high income; he also improves public health, decreases worker absenteeism, reduces pain and suffering, and so on. Governments are willing to support higher education because they value the perceived net social gains from it. RECENT ADVANCES IN ECONOMIC THEORY: THEIR RELEVANCE TO EDUCATIONAL POLICY:
 In contrast, theories of higher education recently developed by economists characterize the university as a filtering mechanism, the fundamental purpose of which is to sort and label individuals for the job market. Universities do not change or improve students; instead, they provide employers with information. Insofar as this view describes reality (or elements or it), the implications for institutional planning and administration are profound. This paper first reviews traditional cconomie theory of higher education (human capita!) and then explains newer ideas (filtering, testing, screening, self -selection). RECENT ADVANCES IN ECONOMIC THEORY: THEIR RELEVANCE TO EDUCATIONAL POLICY:
 Both educational and policy implications are discussed. It will be argued that, even when the newer theories appear to have some validity in the present situation, universities serve a different but socially useful allocative function.' Human Capital Theory:
 The most widely accepted objectives of higher education are based'apon a theorythe human capital theorywhich by the early 1960s had appeared in the literature of economics in we form . Its definitive tenet is that education improves abilities, or job skills."
"The gender gap of returns on education across West European countries","https://scispace.com/paper/the-gender-gap-of-returns-on-education-across-west-european-z8dfcox6as","2014","Journal Article","International Journal of Manpower","Concetta Mendolicchio
Thomas Rhein","10.1108/IJM-02-2013-0026","https://scispace.com/pdf/the-gender-gap-of-returns-on-education-across-west-european-z8dfcox6as.pdf","Purpose – The purpose of this paper is to study the gender specific private returns on education (RE) in Europe in a comparative perspective. The authors extend the model of de la Fuente (2003) by estimating the parameters by gender and introducing maternity leaves and benefits. The paper analyses the impact of the public policy variables evaluating the elasticities with respect to unemployment benefits, marginal and average tax rates, maternity leave and childcare benefits. Design/methodology/approach – The authors estimate the Mincerian coefficients, with the Heckman’ selection model, for 12 West European countries using the EU-SILC data. The authors then use them as input to calibrate the decision model. Findings – The RE of females tend to be higher than those of males in all the Europeans countries but Germany, the Netherlands and Sweden. The gender gap can be explained mainly by the wage premia and labour income taxes which more than compensate the negative effects on females’ returns triggered by h...","Keywords: human capital, rate of return, public policy"
"Теорія організації в публічному секторі","https://scispace.com/paper/teoriia-organizatsiyi-v-publichnomu-sektori-29jz0nva","2022","Journal Article","Актуальні питання у сучасній науці","І. М. Васькович","10.52058/2786-6300-2022-3(3)-12-22","https://scispace.com/pdf/teoriia-organizatsiyi-v-publichnomu-sektori-29jz0nva.pdf","","partly conflicting goals. The author also proposed a linear function of the influence of management on the organization of the non-profit sector. ORGANIZATION THEORY IN THE PUBLIC SECTOR: Keywords: organization theory, public administration, public sector, public organization. ORGANIZATION THEORY IN THE PUBLIC SECTOR: Постановка проблеми. На сьогодні необхідно здійснити перегляд теорії організації для державного сектора з особливим акцентом на тому, як державний сектор організований у представницьких демократіях. Центральним питанням є зв'язки між громадськими організаціями та змістом державної політики. Люди, які формують державну політику, зазвичай діють від імені офіційних організацій. Ключове припущення полягає в тому, що організаційна приналежність цих учасників та організаційне середовище, в якому вони діють, впливатимуть на їхній спосіб мислення та поведінку, а отже, і на зміст державної політики. Підхід до державного сектору в теорії організації припускає, що неможливо розуміти зміст державної політики та прийняття державних рішень без аналізу способу організації політико-адміністративних систем та способів їх функціонування і підвищення ефективності. Перш за все, теорія організацій традиційно фокусується на приватних організаціях загалом і на приватних компаніях зокрема. По-друге, теорія організації лише в обмеженій мірі вкорінена в політичній науці, черпаючи свою академічну суть більше з соціології, теорії управління та психології. На"
"Literature Review Article: Institutions and Economic Development","https://scispace.com/paper/literature-review-article-institutions-and-economic-1irx7samme","2019","Book","","Jakob de Haan","10.4337/9781788118859","https://scispace.com/pdf/literature-review-article-institutions-and-economic-1irx7samme.pdf","","middle# and high#income countries the effect is positive. Human Capital: Nevertheless, in the case of , while analysing 51 countries #180# between 1960 and 1987, shows that such interaction terms are seldom statistically significant. Human Capital:
 In sum, empirical studies prevalently show that openness has positive effects for industrialised countries, while not necessarily for the case of developing countries. Again, this leads one to suspect that institutional quality may affect absorptive capacity, which in turn affects productivity growth. Although the trade channel could in principal facilitate technology transfer, the absorptive capacity of the recipient country, mainly depending on human capital and capital intensity, determines the magnitude of technology transfer. Human Capital:
 Other than trade openness and FDI, financial openness also raises the issue of financing capital accumulation, which may have repercussions for productivity growth ). In economies where the financial system is well developed, investment opportunities can readily be seized, resources are more likely to be allocated optimally. Specialisation can thus be promoted. Human Capital:
 However, in developing countries with less sophisticated financial systems, firms may have to rely on retained earnings for investment or forego the opportunity. Financial constraints therefore may prevent poor countries from taking full advantage of technology transfer. Financial repression, often exemplified by negative or artificially low real interest rates, thwarts incentives to save. It also distorts the efficient allocation of savings into investment and hence brings negative effect on TFP growth. Human Capital:
 The association between financial development and productivity growth receives great research interests lately.   factor productivity with no significant gains in employment. These productivity gains from both learning and selection effects may also have to spread over longer periods. It may turn out the net effect on TFP seems insignificant. Institution and Macroeconomic Policies:
 The institution view argues that differences in efficiency across countries are the results of the underlying market#friendly institutions, including the set of formal and informal constraints that shape an individual's ability to act productively and cooperatively in the society. The role of institutions ensures efficient allocation of resources across sectors. On the other hand, policy instruments may also compensate for weak underlying institutions. Institution and Macroeconomic Policies:
 According to 's survey, the existing literature generally highlights three main institutional issues, namely, (i) enforcement of property rights (encourages investment), (ii) constraints on the actions of elitist, political and other groups with power (thus reduce risks of expropriation of incomes and #182# others' investments), and (iii) equal opportunity for broad segments of society (e.g. enhanced investment in human capital and participation in productive activities). Theories argue that better security of property rights creates more incentives for savings and investment, leading to TFP growth. As defined in Chapter 2, we consider institutions as a measure composed of economic and political institutions, macroeconomic policies and regulations."
"Analiza utjecaja teorije agenata u privatnim i javnim poduzećima na primjeru hrvatskog zdravstvenog sustava","https://scispace.com/paper/analiza-utjecaja-teorije-agenata-u-privatnim-i-javnim-2e0ftn8x8m","2018","Journal Article","","Martina Sopta
Mihaela Mikić
Matej Botički","10.32676/N.3.9","https://scispace.com/pdf/analiza-utjecaja-teorije-agenata-u-privatnim-i-javnim-2e0ftn8x8m.pdf","Republika Hrvatska godinama se suočava s izazovom održivosti vlastitog zdravstvenog sustava zbog neučinkovitosti ustanova javne zdravstvene zaštite. Prevladava mišljenje kako uzrok tome leži u samoj strukturi zdravstvenog sustava, koji pruža zdravstvenu zaštitu svim građanima. Ovaj rad nastoji istražiti mogu li javne zdravstvene ustanove biti učinkovitije unatoč samoj strukturi sustava. Osnovna pretpostavka rada je da su javne zdravstvene ustanove neučinkovite zbog utjecaja agencijske teorije. Da bismo ispitali tu pretpostavku, potrebno je usporediti javne i privatne zdravstvene ustanove. Cilj ovog rada je utvrditi postoji li veći utjecaj agencijske teorije u ustanovama javnog zdravstva u odnosu na različiti utjecaj privatnog i javnog vlasništva na metode upravljanja. Metodologija istraživanja odnosi se na financijsku analizu odabranih privatnih i javnih zdravstvenih ustanova. Ispitivanje stručne osposobljenosti ravnatelja u ustanovama pokazalo je da nema velikih razlika u udjelu stručnjaka iz područja ekonomije u privatnim i javnim institucijama. Analiza učinkovitosti temeljena na specifičnim ustanovama pokazala je da su javne zdravstvene ustanove neučinkovitije od privatnih s obzirom na upravljanje troškovima. Na temelju toga zaključak je da je utjecaj agencijske teorije dominantniji u javnim zdravstvenim ustanovama.","it clear that public institutions have problems with efficiency. The main reason for this is the specific nature of the public sector due to the absence of market mechanisms, but also the emergence of multiple principals to which the agents answer and the multiple tasks they have to fulfill. Because there is no major difference in the professional qualifications of directors in private and public institutions, it is assumed that the impact of the agent theory is more pronounced in public institutions."
"Optimizando la Teoría General de Sistemas: Un Enfoque Centrado en la Planificación","https://scispace.com/paper/optimizando-la-teoria-general-de-sistemas-un-enfoque-z3iwtoqjlh","2024","Journal Article","Revista Científica Ciencia y Tecnología","Francisco Javier Andrade Domínguez
Deborah Pérez Morfi","10.47189/rcct.v24i41.640","https://scispace.compdf/optimizando-la-teoria-general-de-sistemas-un-enfoque-z3iwtoqjlh.pdf","El objetivo de esta investigación consiste en examinar los sistemas de planificación y sus procedimientos homeostáticos, con el objetivo de comprender cómo se estructuran y regulan parcial o completamente, en función de la organización pública o privada, para lograr similitudes en la consecución de metas. Las contribuciones teóricas de este estudio se centran en la conceptualización de la teoría de sistemas y los isoformismos. La metodología empleada permite la identificación, selección y análisis de fuentes de información de manera sistemática, en relación con la teoría general de sistemas. La metodología es de tipo cuantitativa, los resultados se basan en la creación de un esquema lógico y secuencial, utilizando un dendrograma de variables que facilita la eliminación de redundancias entre los diversos conceptos examinados. Las conclusiones obtenidas a partir de esta investigación confirman que las organizaciones públicas son entidades dinámicas y cambiantes que se ven inevitablemente influenciadas por su entorno operativo. La novedad científica de este estudio radica en el desarrollo de una metodología para formular sistemas de planificación basada en la teoría general de sistemas, alineada con la planificación institucional y enfocándose en los objetivos institucionales de una institución pública. ","Planificación Optimizing General Systems Theory: A Planning-Centered Approach Authors: Francisco Javier Andrade Domínguez,Deborah Pérez Morfi (Corresponding Author) Keywords: Systems Theory, Isoformism, Institutional Planning, Planning Systems Introducción:
 La administración pública enfrenta en la actualidad una serie de desafíos cruciales relacionados con la gestión efectiva de sus metas institucionales. Introducción:
 Este desafío es especialmente relevante para aquellas instituciones cuyo propósito fundamental es la prestación de servicios públicos, ya que su funcionamiento tiene un impacto directo en la calidad de vida de los ciudadanos. Introducción:
 La necesidad de integrar y desarrollar un nuevo paradigma de gestión institucional se ha vuelto imperativa en un mundo en constante cambio y transformación. Introducción:
 En este contexto, la creación y ejecución de procesos interconectados desempeñan un papel fundamental en el control y la sistematización del cumplimiento de las actividades, lo que a su vez contribuye al logro de las metas institucionales. Introducción:
 Esta investigación se enfoca en abordar estos desafíos a través del enfoque de la teoría de sistemas, explorando cómo esta perspectiva puede ofrecer respuestas valiosas en el ámbito interdisciplinario de las ciencias, particularmente en lo que respecta a la gestión de organizaciones públicas. Introducción:
 En este contexto, se llevará a cabo un análisis bibliográfico que permitirá comprender mejor las múltiples dimensiones de este enfoque diferenciado y su aplicación en la administración pública moderna. Introducción:
 Revista Científica Ciencia y Tecnología Vol 24 No 41 http://cienciaytecnologia.uteg.edu.ec Introducción:
 En el vasto campo de la administración y la gestión organizacional, varias teorías han surgido a lo largo del tiempo, cada una ofreciendo perspectivas únicas sobre cómo las organizaciones pueden funcionar de manera efectiva y alcanzar sus objetivos institucionales. Introducción:
 Estas teorías incluyen la teoría de sistemas, desarrollada por visionarios como Ludwig von Bertalanffy, Robert Katz y Franz Rosenzweig; la teoría científica, cuyos pilares fueron establecidos por Introducción:
 Frederick Taylor, Henry L. Gantt, y las contribuciones de Lilian y Frank Gilbreth; la teoría burocrática, delineada por Max Weber; la teoría institucional, con sus fundamentos en el trabajo de John W. Meyer, Brian Rowe, P. J. DiMaggio y W. Powell; la teoría de los recursos y las capacidades, estudiada y perfeccionada por Jay Barney; y, finalmente, la teoría adaptativa compleja, cuyo análisis ha sido profundizado por investigadores como Stuart Kauffy, Stuart Kauffy, P. J. DiMaggio y W. Powell, entre otras."
"Development of knowledge economy framework in the life science sector in the Kingdom of Saudi Arabia","https://scispace.com/paper/development-of-knowledge-economy-framework-in-the-life-4cyl601ebp","2018","Dissertation","","Omar A. Al-Harbi","10.23889/SUTHESIS.43855","https://scispace.com/pdf/development-of-knowledge-economy-framework-in-the-life-4cyl601ebp.pdf","Use policy: _________________________________________________________________________  This item is brought to you by Swansea University. Any person downloading material is agreeing to abide by the terms of the repository licence: copies of full text items may be used or reproduced in any format or medium, without prior permission for personal research or study, educational or non-commercial purposes only. The copyright for any work remains with the original author unless otherwise specified. The full-text must not be sold in any format or medium without the formal permission of the copyright holder. Permission for multiple reproductions should be obtained from the original author.","represent the theoretical framework and the underlying threshold pillars for this research, they have been discussed in not too much detail as that would be outside the scope of the study. It is believed that this brief review is enough and satisfies the objective for this chapter. Chapter Summary:
 In this chapter, three relevant theories have been reviewed: systems theory, human capital theory and innovation diffusion theory. These theories constitute the theoretical foundation for this study. This study concerns the development of a life science innovation system in the Kingdom of Saudi Arabia; this system is supposed to have many organizations and members such as universities, firms, and government working and collaborating to align their different interests and achieve collective aims. For that reason there is a strong rationale to adopt a systems theory in developing the Saudi LS innovation system, to consider collective work relationships, sharing of decision-making and how different perspectives (actors) are aligned so that human capacity can be exploited and continuous learning can occur. As such the system will learn and improve the efficiency with which innovations are exploited enabling the system to respond to the changing environment and to exploit innovation the infrastructure and landscape. Only by this form of mutuality, transparency and value exploitation will a systems approach yield economic value. Chapter Summary:
 With respect to the concept of systems adaptation and ""continuous learning"", system theory intersects with the human capital theory as the innovation system would not work effectively without high quality and highly skilled peopleboth researchers and managers, in turn developing new innovations; therefore the investment in human capital is an inevitable requirement for developing innovation systems. Following on from the development of innovations it is necessary to study its origination and diffusion, so that suitable strategies can be well perceived and developed. The researcher is of course aware that, due to the abundance of theories and theoretical approaches, there are other theories that could have some relevance and contribute, to some extent, to the theoretical foundation for this thesis; however it is perceived that, in light of the aforementioned considerations, the three theories reviewed in this chapter (system, human capital, and innovation diffusion theory) satisfy the theoretical basis for this thesis. Key Issue for an effective system Theory:
 Actors must be aligned to achieve the same intended results and to optimize the flow of innovation in a system Systems Theory:
 Transparency must exist to show what each actor is intending so that investments can be made in the most effective manner to stimulate innovation. Systems Theory:
 Collaboration is favored above competition or adversarial relationships to share risks and gain synergies from working together. Systems Theory:
 Communication between national actors (including attracting new global investors) is very important for improving the national system and responding to environmental change. Systems Theory:
 There must be a free flow of ideas from a developed scientific academic base and low rigidities in the labour market and in other government policies that would restrict flexibilities. Capital Theory:
 Building capabilities is crucial for developing innovation system (availability and quality of human resources) Human Capital Theory:
 Human beings are valuable assets, and investment in them is very profitable. Human Capital Theory:
 Continuous learning is crucial for system sustainability and adaptation Human Capital Theory Innovation should come from both ways: academia to industry and vice versa including labour mobility between actor organisations. Theory:
 The academic system must have formalized processes that disseminate innovation and attract research funding. Theory:
 Considering advantages and priorities of the context very important for success of innovation. Theory:
 There are two key innovation diffusion strategies: innovation push, and market pull"
"Institutional Theory: Problems and Prospects","https://scispace.com/paper/institutional-theory-problems-and-prospects-4ulilgtc0b","2000","","","B. Guy Peters","","https://scispace.com/pdf/institutional-theory-problems-and-prospects-4ulilgtc0b.pdf","Institutional theory in political science has made great advances in recent years, but also has a number of significant theoretical and methodological problems. The most important of these problems is the generally static nature of institutional explanations. Also, there is a nagging problem of the difficulties in measuring institutional variables in other than simplistic, nominal categories. As well as discussing these problems this paper addresses the static nature of institutional theory by examining the concept of ""institutionalization"", and the creation (and tearing down) of institutional structures. The paper argues that by considering institutionalization as a continuous variable rather than a nominal variable we can beginto understand better the dynamics of institutions themselves, and therefore also develop better institutional explanations for other social and political phenomena.;","disucssion of institutinal development, as well as from the other students of institutionalization are useful they may not capture all the complexity of institutionalization. T wo additional factors (see appear important in defining institutionalization in contemporary public sector structures. 5.:
 Congruence. This variable reflects a concern with the extent to which relationships within political institutions match the social relations they are supposed to regularize and maintain. If political institutions are not congruent then they can not be expected to survive and be effective. Also, this reflects a concern about differences between the values of poltiical elites and the values of the masses. 6.:
 Exclusivity. The final variable related to the intensity of functional competition among institutions. When there is little or no competition then the institutions can expect longterm survival. When there are multiple institutions attempting to perform the same tasks then the competition will have to be resolved in some way, often by the termination of one or more institutions. Systems Theory and Institutionalization:
 Another way to address institutionalization is to revive the systems theory that has been used in organizational analysis , as well as in a number of other areas of social science . In this theory, organizations are defined in terms of their capacity to create and maintain a boundary from the environment and from other organizations. All organizations must import resources from the environment but the more institutionalized are hypothesized to have effective gatekeepers to control those transactions. Systems Theory and Institutionalization:
 We will return to the measurement question in a later section of the paper, but the conceptual issue is more important here -one aspect of institutional change is in the creation of institutions, and not all institutions are as fully formed as are others. Likewise, institutions may deinstitutionalize, and become less autonomous, or less coherent. These changes in the attributes of institutions may predict something of their own behavior, as well as their effects on policy. Changing Values and Structures:
 The second aspect of institutional change is changing the content of what institutions do, or what they believe. Here there are marked differences among the approaches, with the rational choice versions standing out in their assumptions of the ease o f change. For the other approaches, however, change is a real problem if institutional analysis is to be an organizing concept for political science. The stereotypical conception of institutionalism is that it is at best static, and even if it can provide useful explanations of different policy outcomes or different types of decisions, it can not provide an explanation for change. Changing Values and Structures:
 The above discussion is to some extent a restatement of the familiar structure/agency problem in constructing social theory . Should we focus on structure and thereby run the risk of hyperstability in our explanations, or do we focus on agents of change and thereby encounter the risk of unpredictability and instability in our understanding of the social world? Both of these horns of the dilemma can be overstated, but broadly this is the type of choice that social theory inevitably must confront."
"Litigation strategy and public sector reform: the case of New Jersey's Division of Family and Youth Services","https://scispace.com/paper/litigation-strategy-and-public-sector-reform-the-case-of-new-2tagog104k","2011","","","Ariel Alvarez","10.7282/T30G3JJV","https://scispace.com/pdf/litigation-strategy-and-public-sector-reform-the-case-of-new-2tagog104k.pdf","","by the American political system are often the salient factor and frequently take precedence over technical and managerial considerations"" . Political Accountability: According to , within all these systems, the appropriateness of which system to apply to the publicly administered agency is influenced, Political Accountability:
 The nature of the agency's tasks (technical level accountability); the management strategy adopted by those heading the agency (management level accountability); and the institutional context of agency operations (institutional level accountability). Ideally, a public sector organization should establish accountability should establish accountability mechanism which ""fit"" at all three levels simultaneously. (p.230) Implementation Theory:
 Policies created by legislative or judicial decisions are considered as public policies and can influences changes in organizational behavior including child welfare policy . Problems and disputes that arise prior to and during the course of a court trial are addressed most often by the court's ruling. Implementation of these newly created policies are what public administrators such as child welfare workers are most involved with after the ruling. Implementation Theory:
 Implementation refers to the process of translating policy into action; the interaction between setting goals and achieving them . Implementation Theory:
 Implementation can involve carrying out basic policies incorporated in statues or court mandated executive orders . Implicit or explicit in these definitions is the idea that implementation links policy to action. In relation to litigation,  described implementation as, The stage of policymaking between the establishment of a policy-such as the passage of a legislative act, the issuing of an executive order, the handling down of a judicial decision, or the promulgation of a regulatory rule and the consequences of the policy for the people whom it effects.  The implementation process consists of: Implementation Theory:
 Issuing and enforcing directives, disbursing funds, making loans, awarding grants, signing contracts, collecting data, disseminating information, analyzing problems, assigning and hiring personnel, creating organizational units, proposing alternatives, planning for the future and negotiating with private citizens, businesses, interest groups, legislative committees, bureaucratic units and even other countries.  When discussing any theory of implementation, it is important to remember that policy-making does not take place in a vacuum. Organizational entities are dynamic and it is difficult to completely separate the specifics of a single policy and actions from the influences of other policies . According to , ""The passage of time wreaks havoc with efforts to maintain tidy distinctions. In the midst of action the distinction between the initial conditions and the subsequent chain of causality begins to erode. . . . The longer the chain of causality, the more numerous the reciprocal relationships among the links and the more complex implementation becomes"" (p. xxi). In other words, when assessing the effectiveness of policy and subsequent actions, care must be taken not to examine the policy in isolation of other policies. This will prevent attributing outcomes solely to that policy when, in fact, other factors and policies may have made a significant contribution to the outcomes observed . Implementation Theory:
 Over time between the policy and its implementation in practice, a gap or deficit develops over time in the implementation of policies . The challenged for public administrators is closing the gap between the policy and action . The increase of decrease of the gap is affected by the several factors that include: Implementation Theory:
 1. The extent that policies are written that make them actionable. Implementation Theory:
 2. Resources (expertise, money, time) available to use toward the implantation of the policy."
"Теоретичні концепції трансакційних витрат держав-них інституцій в економічній науці","https://scispace.com/paper/teoretichni-kontseptsiyi-transaktsiinikh-vitrat-derzhav-nikh-35a2fpufkg","2020","Journal Article","","Н.М. Крючкова
В.В. Мацьків","10.37320/2415-3583/12.2","https://scispace.com/pdf/teoretichni-kontseptsiyi-transaktsiinikh-vitrat-derzhav-nikh-35a2fpufkg.pdf","Одним із важливих питань економічного розвитку є визначення ефективності функціонування державних інституцій, рішень, що приймаються ними, та методів реалізації цих рішень. Проте наявні методи оцінювання ефективності їхньої діяльності є доволі суб’єктивними та суперечливими. Вирішити цю проблему можливо, залучивши трансакційні витрати, які виступають показником ефективності операцій. В економічній науці теорія трансакційних витрат є досить добре опрацьованою в контексті фірми, проте значно рідше зустрічається їх розгляд у контексті державних інституцій. Тому в статті здійснюється критичний аналіз іноземних та почасти українських концепцій трансакційних витрат у контексті функціонування державних інституцій та прийняття рішень на державному рівні. У підсумку виділяються недоліки та нерозкриті питання цих досліджень.","теоретичних досягнень Нової інституційної економіки."
