"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Just Couldn't Have Been Our School: A Phenomenologic al Study of the Schooling Experiences of African American Male Inmates""","https://scispace.com/paper/just-couldn-t-have-been-our-school-a-phenomenologic-al-study-4me9cbxdau","1999","","","A Stan
B Frank
R. Terrell
Kim Kachelmyer","","https://scispace.com/pdf/just-couldn-t-have-been-our-school-a-phenomenologic-al-study-4me9cbxdau.pdf","","We must accept the reality that to confine offenders behind walls without trying to change them is an expensive folly with short term benefitsa winning of battles while losing the war (Schollsman and Spillane, 1992, p.5). Recommendations for Action:
 Burger proposed that all vocational and educational programs be made mandatory, with credit against sentence for educational progress. He explained that it would be, ""literally a program to learn the way out of prison,"" so that no prisoner leaves without being able to read, write, do basic arithmetic and demonstrate a marketable skill. This program is similar to the ""pay for knowledge"" program used in some businesses. According to Norm Carlson, from the Federal Bureau of Prisons, ""Incarceration has dramatically increased during the last decade.""  The U.S. Department of Justice's Bureau of Justice  reported that as of March, 1994, slightly over one million are now incarcerated in American prisons. Most inmates (95 percent) will eventually be released. Approximately 150,000 inmates are released each year. In the federal prisons about half of the inmates have access to some type of education. Recommendations for Action:
 In terms of cost to society in dollars alone, it makes sense to provide adequate vocational training to give former inmates a chance to do legitimate work. A 1994 Government Accounting Office report pointed out that correctional institutions can do more to improve the employability of former inmates. In this society, regular employment is the accepted way of assuming responsibility for oneself . Recommendations for Action:
 Employment not only affects the former inmate's ability to be self supporting without recourse to crime but also influences use of leisure time, association with friends, self-concept, and expectations for the future.  reported that at the August 1981 National Advisory Council for Vocational Education hearings, former inmates testified that if they had not had vocational education classes while in prison and been given job opportunities when released they would ""very likely have returned to prison."" Recommendations for Action:
 Correctional institutions have always faced the problem of what to do with inmates. It is generally agreed that corrections should not only maintain custody, but also achieve some degree of rehabilitation .  describe vocational education in a correctional institution as providing instruction in a setting constantly bombarded with security needs, maintenance needs, treatment modes, and competing activi- Recommendations for Action:
 The Yearbook of Correctional Education 149 ties. These activities limit the time available for vocational education instruction. Furthermore, educators and educational administrators are typically isolated from other parts of the correctional institution. Often there are misunderstandings with custodial and other staff members who may have difficulty understanding the educators' need to build trusting relationships with inmates in order to enhance their learning and skill development. Currently there are variations among the states in mandating and supporting vocational education programs in correctional institutions. Recommendations for Action:
 Since the 1960s the emphasis in correctional education has been on vocational training. Resources for vocational education programs are frequently minimal, often depending upon contributions from local industries and the dedication of staff to maintain operation. Many adult correctional institutions are old, were designed as industrial prisons, and lack proper space and equipment for vocational education programs . Recommendations for Action:
 Research with Canadian prison populations has demonstrated a link between cognitive skills programming and an improvement in the effectiveness of vocational education in prison ."
"The Effectiveness of Education and Employment Programming for Prisoners.","https://scispace.com/paper/the-effectiveness-of-education-and-employment-programming-aeo7pdfaa2","2018","","","Grant Duwe","","https://scispace.com/pdf/the-effectiveness-of-education-and-employment-programming-aeo7pdfaa2.pdf","","a portion of the state's corrections budget to finance college courses for prisoners. The following year, the US Department of Education launched a pilot program to provide prisoners with access to federal aid for postsecondary education, which Congress had eliminated in 1994. Education Programming:
 Notwithstanding these recent efforts to increase postsecondary educational opportunities for prisoners, education has long been a staple of prison-based programming. The prevalence of education programming in prisons is likely due, at least in part, to the well-documented relationship between low educational achievement and antisocial behaviors. Several studies have linked poor academic performance among adolescents to juvenile delinquency and future offending, although the direction of the causal relationship remains unclear.  In general, the literature on the effectiveness of prison-based education programming has looked at its impact on the following outcomes: prison misconduct, postprison employment, recidivism, and return on investment (ROI). A correctional program can produce a positive ROI by generating benefits (the return) that exceed the costs (the investment) to operate the program. An intervention that lowers recidivism can create cost-avoidance benefits by decreasing victim costs, criminal justice system costs (including police, courts, and prisons), and lost productivity of incarcerated offenders. Programs that improve employment incomes can also create a benefit by increasing income taxes that employed offenders pay to the state."
"Corrections education and employment assistance ‘down under’: current and emerging practices and paradigms","https://scispace.com/paper/corrections-education-and-employment-assistance-down-under-1v4bg1x587","2014","Journal Article","London Review of Education","Joseph Graffam
Alison J. Shinkfield
Barbara Lavelle","10.18546/LRE.12.2.07","https://scispace.com/pdf/corrections-education-and-employment-assistance-down-under-1v4bg1x587.pdf","This article provides a view of contemporary Australia in terms of patterns of offending and incarceration, the characteristics of its correctional systems, vocational education and training (VET) within correctional settings, and post-release employment of prisoners and offenders serving community-based orders (CBOs). A two-year case study of employment assistance for 2,458 Australian prisoners and offenders serving CBOs was evaluated. The voluntary 12-month programme targeted participants at moderate to high risk of reoffending. Overall, employment outcomes were positive with more than one-third of registrations resulting in employment. Employment outcomes varied for gender and participant status (prisoner/offender). Recidivism outcomes were analysed for the whole programme and for a random sample of 600 prisoner participants. Results indicated a very low overall recidivism rate (7.46 per cent) for programme participants, and comparison of pre-programme and post-release recidivism showed reduced recidivism on three recidivism measures. The findings are contextualized in terms of current thinking and emerging practices in offender treatment, with a focus on reintegration as ecological system engagement and integrated systems of support as central to promoting positive lifestyle change.","Under': Current and emerging practices and paradigms 1 Authors: Joe Graffam (Corresponding Author),Alison J Shinkfield,Barbara Lavelle Keywords: corrections education, employment assistance, employment training, prisoners, offenders Introduction:
 It is well understood that the high rate of growth in the prison population over the past decade has resulted in a large number of individuals re-entering the community following prison release. An important strategy in addressing this issue has been the development of programmes that promote successful community reintegration and reduced rates of reoffending. Employment is a key factor in this endeavour, with benefits relating to the individual and family , wider system-level benefits (see , and potential social justice benefits as well. This article provides a contemporary view on post-release employment of prisoners and people serving community-based orders (CBOs) in Australia and on interventions that have been implemented to enhance employment opportunities. It then presents in depth the outcomes of one of these interventions in the state of Victoria. It concludes with a proposed model for an integrated system of support, which is considered a necessary element of provision to help offenders get work and stay in work. Introduction:
 In-prison programmes can provide valuable employment-relevant skill acquisition. However, nationally and internationally, low participation rates in vocational training and education programmes within prisons remain a problem. In Australia, the low proportion of prisoners achieving a certification or qualification may be explained to some extent by the impact of typically short sentences on programme participation. There are long waiting lists for courses, indicating that demand is much higher than availability . Clearly, there is a chronic, yet urgent need to improve programme participation in prisons so that individuals leave prison with a skill base that can improve their chances of successful employment after release. Policy and programme reform is also urgently needed to reduce waiting lists for courses and to increase resources to provide vocational training and education. Introduction:
 Researchers have identified the key qualities of successful post-release employment programmes . These include networking with the labour market; modifying recruitment and placement procedures in line with labour market needs; and providing employer incentives, information about job opportunities, appropriate vocational training, work-release opportunities for suitable offenders, job-retention skills, assistance to offenders in appropriate disclosure of criminal history, and long-term follow-up support. Introduction:
 In addition to the need for employment assistance, there is the issue of stakeholder attitudes toward the employability of ex-prisoners. Employers, employment service providers and corrective services staff have been shown to rate the employment prospects of ex-prisoners as poor , with variations related to the type of crime and whether training had been completed in prison. Attitude change can be promoted by exposing employers and employment service providers to ex-prisoners through job fairs and work trials, and by publicizing success stories. Employer incentives have also been shown to be effective in influencing employers to hire ex-prisoners (e.g. The Bridge Project, 2011)."
"Vocational education and training for adult prisoners and offenders in Australia: research readings","https://scispace.com/paper/vocational-education-and-training-for-adult-prisoners-and-25wmu9q1ga","2007","Journal Article","National Centre for Vocational Education Research","Susan Dawe","","https://scispace.com/pdf/vocational-education-and-training-for-adult-prisoners-and-25wmu9q1ga.pdf","This book of research readings provides clear evidence that adult prisoners and offenders who participate in vocational education and training (VET) during their sentence are less likely to re-offend. A reduction in recidivism represents significant cost savings to the community. This book highlights recent improvements in the delivery of VET for adult prisoners and offenders in Australia. Chapters include: International research and trends in education and training provision / Raymond Chavez and Susan Dawe; The role of VET in recidivism in Australia / Victor Callan and John Gardner; Ex-prisoners and ex-offenders and the employment connection: assistance plus acceptance / Joe Graffam and Lesley Hardcastle; The role of education and training in prison to work transitions / Margaret Giles, Anh Tram Le, Maria Allan, Catherine Lees, Ann-Claire Larsen and Lyn Bennett; Should education and vocational training be compulsory in corrections? / Peter de Graaff; The provision of VET for adult prisoners in Australia / Sian Halliday Wynes; Using research to inform practice: Western Australian correctional education / Christine Laird, Raymond Chavez and Melanie Zan; Throughcare and VET for adult prisoners and offenders within the New South Wales Department of Corrective Services / Karen Banfield, Steve Barlow and David Gould; Improving VET for adult prisoners and offenders in Australia / Sian Halliday Wynes; Improving literacy for adult prisoners and offenders / Bernard Meatheringham, Pamela Snow, Marine Powell and Michael Fraser; Education and training for Indigenous people in prisons / Cydde Miller.","during their period of incarceration and that they commence parole with no fixed abode and fractured or depleted social capital (through loss of networks). As a large proportion of jobs are found through social networks, the lack of these networks further reduces opportunities for employment. Implications:
 For policy-makers, therefore, the chief questions should not be restricted to: 'What can we do for prisoners during incarceration?' but, just as importantly: 'What can be done for ex-offenders struggling to build meaningful lives in the community?' The answers do not lie with correctional authorities alone. Other government agencies, non-government organisations and private industry should share the responsibility and challenge of building on the beneficial education and training programs undertaken in prisons. Conclusions:
 The sample in this study over-represented prisoners who were female or who had higher levels of educational attainment (Year 11 or above), while Indigenous Australian prisoners and those in maximum security prisons were underrepresented. In addition, no data were collected from regional prisons. However, the findings suggest that most prisoners in Western Australia now have a choice of prison jobs and/or study options tailored to meet their needs, and those studying vocational education anticipate good future work prospects after release from prison-more enjoyable work and higher wages than prior to their incarceration. About half of the prisoners interviewed study to complete basic adult education, schooling, short courses or full qualifications in vocational education and training or higher education-including postgraduate study. Most of those who study also work either in jobs related to the maintenance of the prison (for example, cooking, cleaning and gardening) or in commercially based prison work (such as metal work, furniture production, meat processing, building and construction and warehousing). Some prisoners study but do not work, and a few do not study or work. Conclusions:
 The differences in work and study patterns result from choices made by prisoners within the constraints of their individual prisoner management plans, prisons jobs, and course availability, and with regard to their previous work and study backgrounds. Since 2004, the gratuity system in Western Australia has applied to participation in study and work rather than work alone. Some offenders view study as a practical means for satisfying requirements for early parole, conjugal visits and child access. Conclusions:
 Significantly more prisoners undertaking VET courses, such as traineeships, expect better labour market futures (such as work, more enjoyable work and more money) than those undertaking non-vocational education courses or work only. Prison work on its own, even that involving commercial endeavours, is not seen by prisoners as being an entry to a career outside prison. Conclusions:
 Reasons for the relative 'success' of training courses may include: Conclusions:
 v regular interaction and encouragement from 'outside' lecturers v enrolment in the same units and achieving similar competencies as outside trainees v links to prospective employers and employment opportunities outside prison v links to suitable support networks 'outside' prison Conclusions:
 Other government agencies, non-government organisations and private industry should share the responsibility and challenge of building on the beneficial education and training programs undertaken in prisons. To break the cycle of poverty and recidivism and to participate as constructive members of the community, ex-offenders require support networks, especially to ensure stable housing, transport, re-entry to employment, new social networks, health and further education support in the community."
"The Professional Development of Correctional Educators.","https://scispace.com/paper/the-professional-development-of-correctional-educators-elr83lzh4y","1971","","","Franklin M. Semberger
George F. Aker","","https://scispace.com/pdf/the-professional-development-of-correctional-educators-elr83lzh4y.pdf","The objectives of the Florida Institute for Correctional Educators are presented. These include; (1) Promote professional growth of correctional educators; (2) Provide opportunity for association with professionals in correctional educatione (3) Introduce different perceptions of inmate experiences; (4) Provide insights into leadership skills and means of change; (5) Present problems and possible solutions in correctional education in Florida and nationally; and (6) Introduce several methods of instruction appropriate for adults. At the conclusion of the Institute the participants were asked to express their views as to what the Institute objectives were--in terms of what they learned or achieved. Representative responses include; (1) To bring correctional educators together; (2) To make correctional educators realize where they fit into the total correctional picture; and (3) To give correctional educators some idea of the professional responsibility and professional image they should possess. (CR) U.S. DEPARTMENT OF HEALTH. EDUCATION & WELFARE OFFICE,OF EDUCATION THIS DOCUMENT HAS BEEN REPRO. PROFESSII DUCED EXACTLY AS RECEIVED FROM THE PERSON OR ORGANIZATION ORIG INATING IT POINTS OF VIEW OR OPIN, IONS STATED DO NOT NECESSARILY REPRESENT OFFICIAL OFFICE OF EDUCo CATION POSITION OR POLICY. CORRECi luntu. LuOCATORS ci The Florida Institute for Correctional Educators C3 1411","and work habits; 91 (4) earning a living and living within one's earnings; 6.: (5) moral and spiritual values; 6.: (6) good use Of leisure time; providing and nmumaging a home. 6.:
 Inmates are most interested in vocational and trade training:.: It is the job of the skilled and well trained teacher to work with the counselor, other teachers, psychologists, and custodial officers to develop an environment in which work, training and social adjustnent develoP as a total program in the life of the offender while he is within the walls of the correctional institution. 6.:
 Correctional education in the United States is a patchwork of programs and philosophies. Many prograno attempt to transfer a public school program into an institutional setting. Others see aoademic education or vocational education as the cure-all for rehabilitation. Still others are groping in an attempt to find a unified program which will blend vocational training, academic education and multiple attempts at resocialization into a coordinated and comprehensive program whic'h will have marked success in rehabilitating offenders. 6.:
 Many correctional institutions assign inmates with low educational achievement scores, as determlned by performance on a reading test, to a mandatory basic education program. This becomes a part of their ""job"" assignment program in prison. Classes may vary from those taught by inmated to those taught by qualified, state-certified teachers. 6.:
 One method used is the Laubach literacy method, which has met with worthwhile results. In most instances the purpose is to provide education which will assist inmates in their basic adjustment in the ""free world"" and to help them obtain essential skills' for engaging satisfactorily in social living. Perhaps an underlying philosophy is the concern to instill entry level employment skills in order to be self supporting. One study noted that as many as 60% of the men in prison are classified as laborers. 6.:
 Thus ABE is conceived of as having benefit to inmates as well as society: 6.:
 ContemPorarily rehabilitation is receiving greater emphasis than at any other time in. history. The goal of confinement is to help the individual develop new skills, new attitudes and greater self-understanding. The hope is that these changes will enable one to find a place in society and become a positive contributor. According to Beadle (3) the.""new look"" at the period of incarceration is not just punishment but treatment. The President's Commission of Law Enforcement and the Administration of Justice made a recent study of America's system of criminal justice. It has found many deficiencies in the present system. 6.:
 It refers to the isolation of the correctional apparatus stating: it is isolated from the public partly ,by its invisibility and physical remoteness; partly by the inherent lack Of drama in most of its activities, but perhaps most importantly by the fact that the correctional apparatus is often used-- or misused--by both the criminal justice system and the public as a rug under which disturbing problems and people can be swept . Comments on histor:
 The year '1930,was pivotal in correctional education. Writing in 1929, MacCortick (13) stated:"
"A Survey of Staff and Inmates at the New Lisbon Correctional Institution Detailing Relevant Factors Associated with Career and Technical Education and Post-Release Outcomes","https://scispace.com/paper/a-survey-of-staff-and-inmates-at-the-new-lisbon-correctional-3p5rcy36z5","2010","","","David John Hines","","https://scispace.com/pdf/a-survey-of-staff-and-inmates-at-the-new-lisbon-correctional-3p5rcy36z5.pdf","2 Inmates released to the community without a basic education and little job training face a higher risk of re-offending and being returned to prison. By providing effective career and technical educational programming, the Wisconsin Department of Corrections (WI DOC) can increase educational levels, provide meaningful job skills, as well as help offenders to think critically and more responsibly in order to enhance their reentry to the community and to reduce the possibility of recidivism. The purpose of this study was to evaluate career and technical educational programming at the New Lisbon Conectional Institution (NLCI) and its relationship to recidivism and the successful reentry of inmates to the community. The design of the study was Qualitative in nature and utilized a modified case study approach that consisted of a series of interviews with","relationship between education and employment. However, the manner in which these kinds of programs are offered varies widely . Some programs that are labeled as ""career and technical"" may include those that are certified through state technical college systems, asthey are in Wisconsin. Correctional Educational Programming:
 Other programs may include apprenticeships, classroom-based job skills programs, or simply ""on-the-job"" training programs often offered as part of prison industries programs. Those offering certified credentials are generally preferred over those that are not based on a participant's ability to document their completion. With jobs declining throughout the country, providing inmates with marketable skills whether job-specific or transferable skills becomes imperative. Correctional Educational Programming:
 Studies have shown that inmates who participate in educational programming while incarcerated have lower rates of recidivism than those who did not . Although estimates vary as to the actual rates of reduced recidivism, these studies suppoli the notion that cOlTectional education enhances post-release employment, reduced rates of recidivism as well as successful reentry to the community . Correctional educational programs need to help inmates better prepare themselves for successfully reintegrating to their respective communities . Lack of data that suppolis this notion of positive post-release outcomes can create problems for correctional educational administrators who are trying to maintain support and funding for these kinds of programs . Therefore, the collection of data relating positive post-release outcomes with correctional education programs is essential. Recidivism:
 Recidivism is generally recognized as one of the most widely used post-release outcomes for measuring the effectiveness of a program because the individual does not re-offend and come back to prison which satisfies the public demand to be accountable for the expenditures for correctional education . Others suggest there may be problems with utilizing only recidivism as a measure of effectiveness and feel that interpretations relating correctional educational programming to recidivism are ""ambiguous"" . It has been suggested that other factors ought to be utilized such as employment and educational attainment,  or educational assessment as measured by a recognized test such as the Tests of Adult Basic Education, or T ABE . Regardless of where some researchers stand on the importance of the related variables, the most consistent theme throughout all of these studies has been recidivism as long as one recognizes ""the different outcomes related to recidivism [such as] parole violation, reconviction, and reincarceration"" ). However, overall, studies support the assertion that cOITectional educational programming ""significantly reduces recidivism"" (MacKenzie, 2005, p.6). Reentry:
 Reintegrating successfully back to the community is the shared hope of both offenders and correctional practitioners. The WIDOC has recognized this with its' current reentry initiatives which include a comprehensive program consisting often modules which address the most common areas where inmates struggle in their efforts to successfully return to their communities. Reentry:
 They include: housing, transportation, personal development, education, health, well ness, financial literacy, employability, and family. Although cOlTections systems can ' t provide all aspects of reentry and must take into account labor markets, families, and other institutions of social integration they can provide a solid platform and educate soon-to-be-released irunates on how to utilize community resources ."
"Education and its effects on recidivism.","https://scispace.com/paper/education-and-its-effects-on-recidivism-47c8gi90pt","2000","","","Matthew J. Conway","","https://scispace.com/pdf/education-and-its-effects-on-recidivism-47c8gi90pt.pdf","EDUCATION AND ITS EFFECTS ON RECIDIVISM MAY 2000 MATTHEW J. CONWAY, JR. B.S., CENTRAL CONNECTICUT STATE UNIVERSITY M.S., CENTRAL CONNECTICUT STATE UNIVERSITY Ed.D., UNIVERSITY OF MASSACHUSETTS AMHERST Directed by: Professor Howard Fleeter Correctional education came from the belief that criminals lack the academic, vocational and social skills needed to be successful in society. Lacking these skills, individuals turn to crime in order to survive. By meeting the criminals basic education and social needs, we should be able to correct the criminal behavior by opening up employment and social opportunities which allow them to achieve these goals legally (Davidson, 1995). The second school of thought is that criminal acts are committed because criminals lack the cognitive and moral maturity needed to make proper decisions. Law abiding citizens have developed the ability to rationalize the cost of the punishment against the social cost of committing the crime. The goal of education is to develop cognitive thinking. By developing cognitive thinking, it is believed criminals will make socially normal and law abiding decisions. The philosophy of educating inmates to reduce recidivism has been in practice for more than a century. Since these early attempts at providing treatment programming to the inmate population, many programs throughout the world have been developed to","non-post-secondary participants in relation to recidivism. An 80% recidivism rate was reduced to 10% when comparing inmates who did not attend college while incarcerated to groups who did study at the post-seondary level while in prison . Work Details vs. Education Programs:
 Using an ex-post facto design, inmates were placed into three groups: inmates who had a GED, inmates with a high school diploma, and inmates with some college education. They studied the inmates in each group who while in prison, participated in post-secondary education and those who did not participate in higher education, looking for the related effect on recidivism. They found a small but statistically significant differ¬ ence between the two groups at the 0.05 level, with a phi coefficient of 0.14352. Ninetytwo percent of the sample were still out in the ""free world"" and 7.7% were recidivists. Work Details vs. Education Programs:
 However, of the 7.7%, 11.5% were non post-secondary participants while only 3.9% had been in the correctional post-secondary educational program. In a second study on the relationship of the types of crime committed and the participation or non-participation in a correctional post-secondary education program, no relationship was found. Work Details vs. Education Programs:
 Based upon the findings of the study, it is the author's conclusion that correctional education programs result in a decrease in recidivism. The programs also prepare the inmate psychologically for reentry into the ""free world.""(0'  1. College Courses offer Increased Cognitive Skill Development Work Details vs. Education Programs:
 The goal of education in the correctional environment is to raise one's cognitive development in order to affect the way he or she analyses, perceives, interprets and acts in specific situations. Studies reveal this goal is accomplished by creating an environment that is perceived to be separate from the correctional facility and by developing curriculum which nourishes cognitive growth. Mathematics, the sciences, and philosophy courses have been found to be effective for developing logical thought and reasoning, while English literature and history courses have been found to promote cognitive growth and moral reasoning  as cited Lucien Work Details vs. Education Programs:
 In a study conducted by   Inmates were in those courses for the improved job potential, the enjoyment of a specific course, or to help pass their prison time, not to make themselves better people. Work Details vs. Education Programs:
 Those enrolled in University courses tended to give more cognitive or affective responses as to what effect the courses had on them. This was especially true of those inmates/students participating in humanities and social science courses. In courses where students learn about the behavior of themselves and others, they responded by having gained a greater insight into people and society and having learned to act according to their new insight."
"Prisoners’ Perspectives on Limited Rehabilitative Program Opportunities","https://scispace.com/paper/prisoners-perspectives-on-limited-rehabilitative-program-1mf9ldxujf","2021","Journal Article","The Qualitative Report","Kerry Edwards PhD","10.46743/2160-3715/2021.4495","https://scispace.com/pdf/prisoners-perspectives-on-limited-rehabilitative-program-1mf9ldxujf.pdf","Approximately 1.5 million persons are incarcerated in American prisons (Carson, 2020), and the rate at which persons who have been incarcerated reoffend (recidivism) is high (Alper et al., 2018, p. 1). This has propelled the effort to help offenders change their trajectory. Rehabilitative programs are used to help prisoners gain skills and strengths necessary to succeed in the community after their release. Yet, these high recidivism rates persist. Why do some prisoners not benefit from these programs? Although many researchers have studied the efficacy of programs over the past six decades, less attention has been directed towards access to prison programming. Additionally, studies that explore prisoners’ perspectives are not common. This researcher sought to understand programming access and utilization through the prisoner’s lens. This phenomenological, qualitative study explored 49 male prisoners’ perspectives. The findings suggest the prison’s operational structure impeded program access and the study’s participants who experienced blocked access were negatively affected, not receiving needed rehabilitative programming and, separately, suffering from the act of disenfranchisement from services.","firefighting and furniture making) as more meaningful than others in multiple respectsbeneficial to community, skill building, challenging, pride in work activity or product, requiring discipline, and involving teamwork; additionally, the more meaningful work seemed to affect identity . How Do In-Prison Education and Vocational Education Affect Recidivism?:
 While some research has clearly indicated that prison-based educational programs reduce recidivism , other research has yielded mixed findings depending on the type of educational program .  argued although many studies have drawn varied conclusions, overall, research suggests correctional education is ""one of the most productive and important reentry services"" (p. 27).  noted that approximately 38% (3,582) of their sample (9,394 state prisoners) did not have a high school diploma or GED at the time they were incarcerated; however, approximately 34% (1,212) of those had earned a high school diploma or GED by the time they were released. Thus, 25% (2,370) of all these inmates were without a high school diploma or GED at the time of their release, illustrating the importance of correctional education. How Do In-Prison Education and Vocational Education Affect Recidivism?:
 In their meta-analysis regarding in-prison vocational and work programs,  found that vocational programs were correlated with reduced recidivism rates (11%; as cited in . They also found that some work programs indicated reduced recidivism, but less than the vocational program effect. MacKenzie also posited, ""[V]ocational training and other work programs increase employment opportunities, and this reduces future criminal activities"" . MacKenzie wrote, ""There is sufficient evidence at this point in time to conclude that vocational education programs are effective in reducing recidivism"" . Literature Summary:
 Criminological theories have asserted different aspects of work can be criminogenic or protective. Access to work for disadvantaged populations, including offenders, has been limited by the labor-market structure. Fortunately, research has suggested that certain types of work, even if they do not fit within the primary sector of the labor market, may provide a unique protective benefit-identity capital (see . Work, vocational, and educational programs may, to varying degrees, be rehabilitative, provide protective factors, and reduce recidivism. Effective programs likely include those that raise the educational level, ""develop pro-social self-concepts and identity…"" , and involve ""quality work."" Literature Summary:
 The reviewed literature provides a useful context in which to consider the present study's findings. This paper addresses organizational barriers to access programming and highlights the inmates' perceptions of such barriers. Self-of-the-Researcher:
 This study arose from my interest in two fields, criminology and the sociology of work. Through my experiences, academic study, and previous work in criminal justice (juvenile probation officer, employment case worker for adult parolees, and volunteer mentor for parolees), I had two especially pertinent preconceptions as I began this research: Financially adequate and stable employment is essential for offenders to change their trajectory; and inprison work has not assisted offenders in obtaining adequate work post-release. Thus, I entered the research process believing that the nature and role of prison work needed to be better understood."
"Racial Disparities and Similarities in Post-Release Recidivism and Employment Among Ex-prisoners with a Different Level of Education","https://scispace.com/paper/racial-disparities-and-similarities-in-post-release-1t5t7todpl","2015","Journal Article","","Susan Lockwood
John M. Nally
Taiping Ho
Katie Knutson","10.15845/JPER.V2I1.703","https://scispace.com/pdf/racial-disparities-and-similarities-in-post-release-1t5t7todpl.pdf","Previous studies rarely examined racial disparities in post-release employment and recidivism. Finding a job is an immediate challenge to all released ex-prisoners, and often more difficult for African American ex-prisoners who typically return to economically-depressed neighborhoods upon release from prison. The present researchers conducted a 5-year (2005-2009) follow-up study in an attempt to understand racial disparities in post-release employment and recidivism among 6,394 released ex-prisoners (2,531 Caucasian and 3,863 African American), while controlling for the ex-prisoner’s level of education. Results of this study showed that African American ex-prisoners had a higher unemployment rate and recidivism rate than Caucasian ex-prisoners. This study also revealed that released ex-prisoners, if employed, would likely be under-employed and experience difficulties in sustaining employment, regardless of the ex-prisoner’s ethnicity. Most importantly, post-release employment and level of education were the two most influential predictors to recidivism among ex-prisoners, regardless of ethnicity.","employers of ex-prisoners, providing mostly hourly-based or seasonally labor-intensive jobs. Undoubtedly, skill-based manufacturing or construction jobs provided better wages for ex-prisoners with the necessary skill sets, but these job opportunities decreased during the recession . Conclusion:
 In recent years, funding for correctional education programs across the United States has decreased due to federal and state budget constraints. Needless to say, many skill-based vocational programs, such as manufacturing, are difficult to implement in prison settings due to the cost. However, correctional education administrators could selectively implement several of these skill-based programs. Undoubtedly, the benefits of employment-oriented, skill-based correctional education outweigh the cost of incarceration. Future research shall focus on the long-term impact of correctional vocational programs on post-release recidivism among ex-prisoners."
"Evaluation of the Windham School District Correctional Education Programs","https://scispace.com/paper/evaluation-of-the-windham-school-district-correctional-25y8qh3vls","2012","","","Gaylene S. Armstrong
Dennis Giever
Daniel Lee","","https://scispace.com/pdf/evaluation-of-the-windham-school-district-correctional-25y8qh3vls.pdf","","for release. Further, they reported viewing educational programming as an opportunity to correct their behavior for loved ones . Offenders have repeatedly demonstrated that they value the importance of obtaining an education while incarcerated, as it facilitates success in their transition back into the community . Related Benefits of Correctional Education:
 Several positive outcomes of correctional education have been discussed throughout the review of existing literature. Perhaps the most researched benefit of correctional education is the reduced levels of recidivism among participants once they are released . In addition to lower recidivism, empirical evidence suggests an increased likelihood of success in obtaining and maintaining employment for former offenders and higher wage earnings . Correctional education programs may also provide incentives for offenders to behave in a positive manner during their incarceration and reduce the cost of confinement or imprisonment through reduced levels of institutional misconduct . Related Benefits of Correctional Education:
 Constrained by budgets, correctional programs are always under scrutiny to determine if they are performing up to par. Although specific outcomes will vary by program, studies have consistently demonstrated education programs, specifically basic and secondary academic programs are able to reach their goals and make positive impacts on offenders and their success upon release. Moreover, the benefits of receiving an education while incarcerated may reach much further than obtaining employment, as program participation is also linked to improving decision-making skills and promoting pro-social thinking . Correctional Education Post-Secondary Education Literature Review:
  Offenders enrolled in post-secondary correctional education courses, for example, are less likely to commit disciplinary infractions while incarcerated, have greater chances of becoming employed post-release, have more pro-social thinking, and are less likely to recidivate upon release from prison."
