"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Education, work, and crime: A human capital approach","https://scispace.com/paper/education-work-and-crime-a-human-capital-approach-2xlvimzoki","2004","Posted Content","Social Science Research Network","Lance Lochner
Lance Lochner","","https://www.nber.org/system/files/working_papers/w10478/w10478.pdf","- **Relevance Score:** 78/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a human‑capital model to link education, wages, and age to crime; provides empirical NLSY and arrest data; discusses policy and training effects.","This article develops a model of crime in which human capital increases the opportunity cost of crime from foregone work and expected costs associated with incarceration. Older, more intelligent, and more educated adults should commit fewer street (unskilled) crimes. White collar crimes decline less (or increase) with age and education. Predictions for age-crime and education-crime relationships receive broad empirical support in self-report data from the National Longitudinal Survey of Youth and arrest data from the Uniform Crime Reports. The effects of education, training, and wage subsidies, as well as enforcement policies on criminal behavior are discussed."
"Shaping futures of prison inmates and former prisoners via higher education: A conceptual study on social return on investment assessment for stakeholders","https://scispace.com/paper/ec2rQPIZK2AJ","","","","S Raghavan
TFT Sulaiman
BNA Khan
J Ramly","","http://library.oum.edu.my/repository/1191/1/library-document-1191.pdf","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses SROI to assess prison education's human‑capital returns, directly applies theory to inmates, provides illustrative scenarios and policy recommendations, but lacks formal definition, traditional measurement metrics, historical overview, and cross‑group comparison.",""
"The Rate of Return to Investment in Educaton: A Case Study of Lithuania","https://scispace.com/paper/the-rate-of-return-to-investment-in-educaton-a-case-study-of-4c0v1x8tmo","2014","Journal Article","Wroclaw Review of Law, Administration and Economics","Simona Potelienė
Zita Tamašauskienė","10.1515/WRLAE-2015-0014","https://scispace.com/pdf/the-rate-of-return-to-investment-in-educaton-a-case-study-of-4c0v1x8tmo.pdf","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides a solid definition, focuses on education returns in Lithuania, offers concrete case data, discusses education as capital, includes brief historical notes, but lacks detailed measurement methods, policy guidance, and multi‑group comparison.","According to human capital theory, people invest in education to accumulate human capital, enhance personal productivity, and in return receive higher life-cycle earnings profiles. Education is a form of human capital investment and accumulation. The formulation and identification of human capital may be quite diverse and usually results in different estimation methods for the rate of return to education. This article is focused on approaches to the measurement of the returns of private investments in human capital in Lithuania. We focused attention on studying human capital investment accumulation through the rate of return on higher education. The aim of the research is to estimate the private rate of return to education in Lithuania and compare calculated data with analogical data in other countries. In the first part of the paper the concept of “human capital” is defined, before estimating the returns to human capital. Further, the research methodology is presented. One of the main ways to calculate the rate of returns to investment in education, which is used in empirical practice, is the full-discounting or elaborate method, which consists in calculating the internal rate of return, and it was this method which was employed. Results indicate that the rate of return for males is relatively higher than for females. The average estimated rate of return to higher education is 13 percent; with the estimated return for females being 12,5 percent; and for males 14,9 percent. After comparing Lithuania‘s and other European countries‘ rates of return on investment in human capital, it is seen that rate of return in Lithuania is similar to that of Spain."
"The influence of correctional education, skills, and lifelong learning on social outcomes","https://scispace.com/paper/ildbjqokhXUJ","","","","R Galeshi
RM Bolin","","https://acea.org.au/wp-content/uploads/2020/06/2019_Galeshi_Bolin_CorrectionalEducation_Skills_LifelongLearning_SocialOutcomes.pdf","- **Relevance Score:** 74/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses correctional education data to link skill acquisition with social outcomes for prisoners; measures human capital via PIAAC indicators; provides case studies of inmate programs; evaluates education investment effects; lacks formal theory definition and broader historical or comparative context.",""
"Human Capital Investment: The Returns from Education and Training to the Individual, the Firm and the Economy","https://scispace.com/paper/human-capital-investment-the-returns-from-education-and-32hm0k3kj8","2005","Journal Article","Fiscal Studies","Richard Blundell
Lorraine Dearden
Costas Meghir
Barbara Sianesi","10.1111/J.1475-5890.1999.TB00001.X","https://scispace.com/pdf/human-capital-investment-the-returns-from-education-and-32hm0k3kj8.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses comprehensive review of education returns to define theory, detail earnings regressions, and assess schooling as human capital; links to general population but not specific groups; provides illustrative studies and policy discussion, lacks comparative group analysis.","This paper provides a non-technical review of the evidence on the returns to education and training for the individual, the firm and the economy at large. It begins by reviewing the empirical work that has attempted to estimate the true causal effect of education and training on individual earnings, focusing on the recent literature that has attempted to control for potential biases in the estimated returns to education and training. It then moves on to review the literature that has looked at the returns from human capital investments to employers. Lack of suitable data and methodological difficulties have resulted in a paucity of studies that have carried out sound empirical work on this issue. In the final part of the review, we look at the work that has tried to assess the contribution of human capital to national economic growth at the macroeconomic level. This work has generally involved using either a ‘growth accounting’ theoretical framework or ‘new growth’ theories. Although the empirical macroeconomic evidence that accompanies this work does not generally allow one to distinguish between the two approaches, there is a substantial body of evidence on the contribution of education to economic growth."
"A human capital model of the defense-growth relationship","https://scispace.com/paper/a-human-capital-model-of-the-defense-growth-relationship-4xpg2rr5y0","2021","Journal Article","Social Science Journal","Bruce D. McDonald","10.1016/J.SOSCIJ.2019.04.005","https://scispace.com/pdf/a-human-capital-model-of-the-defense-growth-relationship-4xpg2rr5y0.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses defense‑sector human capital model to link education, training, and enlistment incentives to veteran outcomes; provides empirical discussion of returns, policy suggestions, and illustrative scenarios, but lacks detailed measurement techniques and broader historical framing.","This paper develops a model to illustrate how human capital investments made by the defense sector impact economic performance. Emphasizing the on-the-job accumulation of human capital during milit..."
"Are schools in prison worth it? The effects and economic returns of prison education","https://scispace.com/paper/are-schools-in-prison-worth-it-the-effects-and-economic-c9mty67z4q","2023","Journal Article","American Journal of Criminal Justice","Ben Stickle
Steven Sprick Schuster","10.1007/s12103-023-09747-3","https://link.springer.com/content/pdf/10.1007/s12103-023-09747-3.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses prison education outcomes to illustrate human capital gains, quantifies returns, focuses on prisoners, provides policy‑relevant cost‑benefit analysis, but lacks formal theory definition and broader historical or comparative context.","Abstract Recent expansions in prison school offerings and the re-introduction of the Second Chance Pell Grant have heightened the need for a better understanding of the effectiveness of prison education programs on policy-relevant outcomes. We estimate the effects of various forms of prison education on recidivism, post-release employment, and post-release wages. Using a sample of 152 estimates drawn from 79 papers, we conducted a meta-analysis to estimate the effect of four forms of prison education (adult basic education, secondary, vocational, and college). We find that prison education decreases recidivism and increases post-release employment and wages. The largest effects are experienced by prisoners participating in vocational or college education programs. We also calculate the economic returns on educational investment for prisons and prisoners. We find that each form of education yields large, positive returns due primarily to the high costs of incarceration and, therefore, high benefits to crime avoidance. The returns vary across education types, with vocational education having the highest return per dollar spent ($3.05) and college having the highest positive impact per student participating ($16,908). "
"An exploration of human capital theory and its effects on the world of education","https://scispace.com/paper/an-exploration-of-human-capital-theory-and-its-effects-on-fi4cm7j2z6","2020","Book Chapter","","Halil Buyruk","10.4324/9780429020933-6","","- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Defines HCT, links education investment to capital growth, offers historical overview, outlines policy impacts; applies theory to education contexts but lacks measurement methods, case studies, or comparative analysis.","Human Capital Theory (HCT) plays an important part in the effects the economy has on education and in describing the economic role of education. According to HCT, individuals acquire knowledge and skills called human capital through a number of activities, mainly through education and training. This chapter describes the historical development of HCT in general terms and looks at some criticisms concerning the theory. It focuses on the role HCT plays in the economisation of education. The chapter explains the contemporary role of HCT and its effects on educational policies along with the roles of global actors. Several criticisms directed to HCT are available. Some alternative approaches call attention to missing elements of the theory, whereas others criticise HCT more radically. HCT also determines the way individuals who are to receive education should behave. According to the basic argument of HCT, individuals make calculations of benefit-cost."
"Human Capital Theory: Foundations of a Field of Inquiry","https://scispace.com/paper/human-capital-theory-foundations-of-a-field-of-inquiry-2r9558eifv","1996","Journal Article","Review of Educational Research","Scott R. Sweetland","10.3102/00346543066003341","","- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides a thorough historical definition and discusses education investment impacts; outlines general measurement approaches; mentions education policy implications; lacks specific military/prisoner focus, detailed case studies, or comparative group analysis.","This review of human capital theory begins in 1776 and ends in the 1960s, when the theoretical and empirical foundations of the field were articulated and established. The review is organized to provide a general reference to human capital theory, its historical development, and its major methodological approaches. While human capital research has not been limited to education, it usually includes empirical measures of education and produces results that affect educators and education policy. Review of the foundation studies that were conceived by Nobel prize laureates and historically prominent economists supports the position that educators should draw their own informed conclusions and define the agenda of future human capital research."
"Antecedents to Organizational Performance: Theoretical and Practical Implications for Aircraft Maintenance Officer Force Development","https://scispace.com/paper/antecedents-to-organizational-performance-theoretical-and-2aojscs8y0","2015","","","Andrew L Cooper","","https://scispace.com/pdf/antecedents-to-organizational-performance-theoretical-and-2aojscs8y0.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Defines human capital theory and links it to military maintenance officers; discusses training as education investment; lacks measurement methods; offers illustrative but not empirical examples; provides limited historical context and policy suggestions; no cross‑group comparison.",": This research explored the impact of Aircraft Maintenance Officer human capital, learning organization, and knowledge management on organizational performance. Survey methodology was utilized to gather data with both theoretical and practical implications on 21A force development practices. Solicitation of information regarding 21A competencies, utility of current AF logistics courses, and latent constructs were conducted through a web-based self-administered cross-sectional survey. Examination of the latent variables human capital, learning organization, and knowledge management was conducted using exploratory factor analysis and multiple linear regression supporting a positive effect on organizational performance. Practical application of the theoretical findings could yield potential cost savings through the consolidation, restructuring, or removal of logistics courses currently considered under the 21A Deliberate Continuum of Learning. Implications for researchers, practitioners, and senior 21A leadership are discussed along with limitations, recommendations, and areas for future research."
"Education, Risk and Efficiency in Human Capital Investment","https://scispace.com/paper/education-risk-and-efficiency-in-human-capital-investment-21mmxtnm2u","2012","Posted Content","Research Papers in Economics","David Mayston
Juan Yang","","https://scispace.com/pdf/education-risk-and-efficiency-in-human-capital-investment-21mmxtnm2u.pdf","- **Relevance Score:** 69/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a formal framework to assess education investment efficiency and risk, focusing on Chinese higher‑education graduates; provides empirical case study, but offers limited theory definition, measurement detail, and no historical or comparative analysis.","University of York Beijing Normal University The efficiency of the process of investment in human capital through education is of considerable importance both to the individuals involved and to the wider economy. The paper develops an analytical framework in which issues of the efficiency of such investment can be considered alongside its interface with the operations of the labour market, and in which the risks posed by such educational investments when the labour market is less than fully efficient can be analysed. These issues are of particular relevance in the context of the major expansions in higher education which have taken place in recent years, not least in China, which is now second in its share of all 25 â€“ 64 year olds internationally with tertiary education. The paper therefore complements its theoretical analysis with an empirical investigation of the risk factors which impact on the efficiency of this large-scale educational investment for individual graduates and for the wider economy"
"Applying human capital management to model manpower readiness a conceptual framework","https://scispace.com/paper/applying-human-capital-management-to-model-manpower-2ls2e5hdi0","2005","","","Pert Chin. Ngin","","https://scispace.com/pdf/applying-human-capital-management-to-model-manpower-2ls2e5hdi0.pdf","- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human capital concepts to model Navy manpower readiness; quantifies workforce via job data; links theory to military outcomes; offers illustrative Navy scenario; mentions training importance; limited historical, policy, and comparative content.",": The United States Navy is currently going through a human capital transformation in order to better meet the security challenges of the 21st century. A key component of the plan is the job analysis process, conducted using the SkillsNET methodology, to define job requirements in terms of knowledge, skills, abilities, and tools, in contrast to the current approach of relying on the rating badge and a naval enlisted code associated with the billet. The objective of this thesis is to develop a new metric to present manpower readiness in terms of human capital readiness, in line with the Navy's new human capital management approach. This thesis reviews human capital management theories and Sea Warrior, focusing on the capture of human capital skill objects by SkillsNET. Manpower readiness is defined as a function of two components: competence level and preparedness level. Competence level represents the current level of readiness, while the preparedness level is a proxy for the level of readiness in the immediate future. The proposed metric utilizes the human capital skill objects compiled and defined by SkillsNET, and aggregates the individual data to generate the overview of human capital readiness at functional or organizational levels. This metric can be used as a performance measure to evaluate the effectiveness of activities and initiatives conducted in human capital management, which ranges from planning, recruiting, and training to assigning."
"Mincer rates of return to education in the emerging economy of albania","https://scispace.com/paper/mincer-rates-of-return-to-education-in-the-emerging-economy-4g4pzclnsj","2011","Posted Content","Studies in Business and Economics","Gjipali Arsena
Kristo Suela","","https://scispace.com/pdf/mincer-rates-of-return-to-education-in-the-emerging-economy-4g4pzclnsj.pdf","- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Mincer regressions to estimate Albanian schooling returns; provides Albanian case study linking education investment to earnings; mentions theory basics but lacks formal definition, history, policy or cross‑group comparison.","In this paper we study the relationship between earnings and education measured in schooling levels. The main hypothesis to be tested is whether higher education levels reward with higher earnings the working labour force in Albania. We use cross section data from the Living Standards Measurement Survey (LSMS) of 2002 and develop a comprehensive framework for our quantitative analysis of the private returns to schooling and private incentives to invest in education. We construct estimates of the private return to each post-compulsory schooling level, taking into account the effects of education on wages. We find that only tertiary education provides significant positive returns with the upper secondary school being less rewarded. This finding might explain the reduced incentives to invest in additional post-compulsory schooling if this would not lead to tertiary."
"Government Expenditure and Quality of Education: A Case of Public Primary Schools in Kenya","https://scispace.com/paper/government-expenditure-and-quality-of-education-a-case-of-40muy7gtam","2019","Journal Article","Modern Economy","Stephen Mutuku
Julius Korir","10.4236/ME.2019.1012152","https://scispace.com/pdf/government-expenditure-and-quality-of-education-a-case-of-40muy7gtam.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Kenyan primary school data to link education spending with human capital, provides equations and regressions, offers policy hints, but lacks deep definition, history, or cross‑group comparison.","Government allocation to
primary education in Kenya has been provided since independence. The financing
has been complemented by both community and household resources. The implementation
of Free Primary Education (FPE) in 2003 increased enrolment to a Gross
Enrolment Rate of 104 percent in 2003 from 92 percent in 2002 but stabilized at
104.2 percent in 2015. Class-pupil and teacher-pupil ratio increased to 45:1
and 56.6 between 2002/3 and 2012/3 respectively which compromised the quality
of education and school effectiveness. This was due to teachers concentrating
on the Kenya Certificate of Primary Education (KCPE) examinations results at
the expense of skill acquisition in arithmetic and comprehension. The
compromise produced biased KCPE results that could affect key policy decisions
made based on the results. Despite increased enrolment that affected
class-pupil and pupil-teacher ratio, 35 percent of households’ expenditure to
education before FPE implementation was saved with the introduction of FPE. In
the past, the measure of education quality has been KCPE results which were mostly
biased. The KCPE results were low with FPE despite increased government
expenditure on education. Although FPE benefits seemed high, questions on
actual impact of government expenditure on overall school performance measured
by education quality levels had not been addressed before, during and after the
FPE implementation and they form the problem discussed in the study. Analysis
results revealed that government expenditure had positive and statistically
significant impact on enrolment and quality of education Coefficients for
school characteristics such as number of classes, teachers, books and
availability of toilets had positive and at least 95% - 99% statistical
significance with government expenditure. Further, coefficients for class types
and schools located in rural areas were found to affect enrolment at 99%
statistical significance. Further, education quality was low in 2004 as
compared to 2000 but improved in 2012 compared to 2004. Class-pupil & pupil–toilet
ratio, distance from small town, dispensary, bookshop, and secondary school, as
well as class type, contributed negatively to efficiency scores. Class-book
ratio, government expenditure, playfield availability, and class numbers
contributed to the inefficiency levels identified. On policy, it was clear that
the government should increase expenditure on education which affected overall
school performance in public primary schools. The expenditure should be
increased towards quality classes and teachers who are high determinants of
education quality."
"Uncommon Knowledge: World Bank Policy and the Unmaking of the Knowledge Economy in Africa.","https://scispace.com/paper/uncommon-knowledge-world-bank-policy-and-the-unmaking-of-the-527d6g9vqd","2013","Journal Article","Higher Education Policy","Milton O. Obamba","10.1057/HEP.2012.20","https://link.springer.com/content/pdf/10.1057%2Fhep.2012.20.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides a thorough historical definition of human capital and links education investment to policy outcomes in Africa; lacks measurement techniques and comparative group analysis.",""
"Military participation ratios, human capital formation, and economic growth: a cross-national analysis","https://scispace.com/paper/mPDlbZcc1X0J","","","","E Weede","","","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses cross‑national data to link military participation with human capital formation, applies theory to soldiers, provides empirical country cases, but lacks formal definition, education focus, and historical or multi‑group comparisons.",""
