"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings and Outcomes"
"The impact of prison education programs on post-release outcomes","https://scispace.com/paper/Dj9v9SueySAJ","","","","GG Gaes","","http://www.antoniocasella.eu/nume/Gaes_2008.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses correctional education to lower recidivism and boost post‑release employment, directly linking skill gains to outcomes; discusses human‑capital benefits but lacks cost, implementation, long‑term or policy details.","","Correctional education promotes successful prisoner reentry, lowering recidivism and increasing post-release employment. This effectiveness is linked to gains in inmates' human capital (skills). The metadata does not provide specific quantitative effect sizes, cost-benefit ratios, or ROI estimates."
"Can prisons move people into better jobs? A look at correctional vocational training programs and sectoral employment outcomes","https://scispace.com/paper/vZrx7Yy7b1YJ","","","","B van Tiem","","https://onlinelibrary.wiley.com/doi/pdf/10.1111/1745-9125.70027","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vocational training in prisons to examine sectoral job placement and recidivism, linking skill acquisition to employment gains; provides some outcome data and policy discussion but lacks cost analysis and detailed curriculum specifics.","","The paper indicates a recidivism-reducing effect of vocational training programs. These programs aim to build skills to improve post-release employment prospects, linking skill acquisition to employment gains. While the study provides some outcome data and policy discussion, specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are not available in the metadata."
"Evaluating the Effectiveness of Correctional Education: A Meta-Analysis of Programs That Provide Education to Incarcerated Adults","https://scispace.com/paper/evaluating-the-effectiveness-of-correctional-education-a-2peaco6gf3","2013","Book","","Lois M. Davis
Robert Bozick
Jennifer L. Steele
Jessica Saunders
Jeremy N. V. Miles","","https://scispace.com/pdf/evaluating-the-effectiveness-of-correctional-education-a-2peaco6gf3.pdf","- **Relevance Score:** 99/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses meta‑analysis of prison education programs; shows employment gains and recidivism reductions; focuses on incarcerated adults; links education to outcomes; discusses skill building; lacks cost analysis and detailed curriculum info; follows participants up to 15 months; mentions policy relevance.","After conducting a comprehensive literature search, the authors undertook a meta-analysis to examine the association between correctional education and reductions in recidivism, improvements in employment after release from prison, and learning in math and in reading. Their findings support the premise that receiving correctional education while incarcerated reduces an individual's risk of recidivating. They also found that those receiving correctional education had improved odds of obtaining employment after release. The authors also examined the benefits of computer-assisted learning and compared the costs of prison education programs with the costs of reincarceration.","Correctional education reduces recidivism, with participants having 43 percent lower odds of recidivating and a 13 percentage-point reduction in reincarceration risk. It also increases post-release employment odds by 13 percent, with vocational training showing a 28 percent higher odds. Correctional education is cost-effective, with per-inmate costs ranging from $1,400 to $1,744, and programs exceeding the break-even point by reducing reincarceration risk by 13 percentage points."
"Analysis of Recidivism Rates for Participants of the Academic/Vocational/ Transition Education Programs Offered by the Virginia Department of Correctional Education","https://scispace.com/paper/analysis-of-recidivism-rates-for-participants-of-the-2xokiw8fiv","2000","Journal Article","Journal of correctional education","Kim A. Hull
Stewart Forrester
James R. Brown
David Jobe
Charles McCullen","","https://scispace.com/pdf/analysis-of-recidivism-rates-for-participants-of-the-2xokiw8fiv.pdf","- **Relevance Score:** 99/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Virginia DCE academic/vocational programs to assess recidivism and post‑release employment, linking education to outcomes for inmates; limited detail on costs, curriculum, or long‑term policy analysis.","The following report is an analysis of statistical information on program completers of various academic, vocational, and transitional programs offered by the Virginia Department of Correctional Education (DCE) to the inmate population within the Virginia Department of Corrections (DOC). The study was initiated by the Superintendent of the Department of Correctional Education and was designed to assess the impact of DCE programs on recidivism. The sample of three thousand records (N = 3,000) of men and women released during the period 1979 – 1994 was examined with regards to involvement in educational programs while incarcerated and post-release reincarceration within the Virginia Department of Corrections and employment status while on parole/probation. Findings suggest that completion of an educational program while incarcerated may be positively and directly related to post-release community adjustment.","Completing an educational program while incarcerated positively relates to post-release community adjustment. Recidivism rates were lower for program completers (20.17%) compared to those with no educational programming (49.04%) or those who enrolled but did not complete (37.9%). Post-release employment rates were higher for completers (77.9%) than for those with no educational programming (54.6%) or partial enrollment (61.4%). No cost-benefit ratios or ROI estimates are provided."
"Effectiveness of post-secondary education and vocational training on offender rehabilitation and re-entry: A meta-analysis","https://scispace.com/paper/U7eyFJf6yigJ","","","","R King","","","- **Relevance Score:** 99/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses meta‑analysis of post‑secondary and vocational programs in prisons to show recidivism reduction and employment gains; links education to outcomes, discusses human‑capital benefits, includes long‑term study references and policy discussion, but lacks direct cost analysis and detailed program design.","","The meta-analysis indicates post-secondary education and vocational training combat recidivism and assist reintegration. Educational programs are key predictors of reduced post-release recidivism and employment gains. The paper links education to positive outcomes and discusses human-capital benefits. No direct cost-benefit ratios or ROI estimates are available in the metadata."
"Employment and Vocation Programs in Prison","https://scispace.com/paper/employment-and-vocation-programs-in-prison-2v4br9ajzt","2018","Book","","Paula Smith
Lindsey M. Mueller
Ryan M. Labrecque","10.1093/OXFORDHB/9780199948154.013.21","","- **Relevance Score:** 98/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vocational programs to boost inmate skills, lowers recidivism, improves post‑release employment; focuses on prisoners, links outcomes to training, highlights human‑capital gains, offers policy discussion, but lacks cost analysis, long‑term follow‑up, and detailed curriculum specifics.","Historically, work has played an important role in managing correctional populations and providing a means to reduce prisoner idleness. As correctional ideologies have shifted over time, the concept of working while incarcerated has taken on more of a rehabilitative approach. Several policies and correctional initiatives have been developed to integrate prison industry and employment services into correctional systems in an effort to address the poor employment histories and low job-related skills of offenders. Evaluations of these programs demonstrate that participation in prison industry and employment services can increase job prospects and lower the chances of recidivism. The effectiveness of prison-based employment programs vary, however, and is dependent upon the key components incorporated into their design. Despite the differences between programs, employment services offered in prison seem to be an effective approach to addressing employment deficits among offenders.","Evaluations show that participation in prison industry and employment services can increase job prospects and lower recidivism. The effectiveness of these programs varies, depending on their design components. Employment services offered in prison appear to be an effective approach for addressing employment deficits among offenders. No specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are detailed, nor is educational program effectiveness explicitly mentioned."
"Examining Vocational Training in Southwest Florida Corrections: Analysis of the Rehabilitation Path and Reduced Recidivism","https://scispace.com/paper/wR4HaX7mwAsJ","","","","S Anderson","","https://minds.wisconsin.edu/bitstream/handle/1793/85606/2024andersons.pdf?sequence=1","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vocational training in prisons; links it to lower recidivism and better employment; discusses human‑capital gains; touches on costs, implementation, follow‑up, and policy.","","The paper discusses vocational training in prisons, linking it to lower recidivism and improved post-release employment. It emphasizes human capital gains and the importance of investing in people. The analysis touches on costs, implementation, follow-up, and policy implications. No specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are provided in the metadata."
"Adult Offender Recidivism Rates: How Effective is Pre-Release and Vocational Education Programing and What Demographic Factors Contribute to an …","https://scispace.com/paper/OUji0l0jzTsJ","","","","JK Bueche Jr","","https://repository.lsu.edu/cgi/viewcontent.cgi?article=1289&context=gradschool_dissertations","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses pre‑release vocational training to examine recidivism reduction and human‑capital gains among prisoners; links education to outcomes, mentions employment and policy, but lacks cost analysis and detailed curriculum.","","Programs with post-release services were linked to reduced recidivism. The paper examines the ability of correctional education to reduce recidivism and highlights human capital gains. While education-outcome linkage is highly relevant, specific details on post-release employment outcomes, quantitative effect sizes, cost-benefit ratios, or ROI estimates are not available."
"The Effects of Vocational Education on Recidivism and Employment Among Individuals Released Before and During the COVID-19 Pandemic","https://scispace.com/paper/the-effects-of-vocational-education-on-recidivism-and-18pfxnv5","2023","Journal Article","International Journal of Offender Therapy and Comparative Criminology","Susan McNeeley","10.1177/0306624X231159886","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses prison vocational training to assess recidivism and employment, finds no effect, discusses selection bias, recommends policy changes, but lacks cost analysis and detailed curriculum.","Prior research shows employment is an important component of desistance, but there is mixed evidence regarding the effectiveness of prison-based education programs. Therefore, this study examines whether participation in vocational education programs while incarcerated improves recidivism and post-release employment outcomes. In addition, the study controls for the timing of release to examine whether recidivism and employment outcomes varied during the COVID-19 pandemic. Observable selection bias was reduced by using propensity score matching to create similar treatment and comparison groups. After matching, there were no differences in any outcome between those who obtained vocational certificates and the comparison group. The results demonstrate the importance of accounting for selection bias in evaluations of education and employment programs. It is recommended that career-focused educational programs incorporate the risk-needs-responsivity model and the continuum of care principle, build relationships with community employers, and assist with practical barriers to employment.","The study found no differences in recidivism or post-release employment outcomes between individuals who obtained vocational certificates and a comparison group, after accounting for selection bias using propensity score matching. This suggests that vocational education programs, as studied, did not improve these outcomes. No quantitative effect sizes, cost-benefit ratios, or ROI estimates were provided."
"Serving Time or Wasting Time? Correctional Education Programs Improve Job Prospects, Reduce Recidivism, and Save Taxpayer Dollars","https://scispace.com/paper/serving-time-or-wasting-time-correctional-education-programs-3myanyfe3s6o","","","","Lois Davis
Robert Bozick
Jennifer Steele
Jessica Saunders
Jeremy Miles","10.7249/ig113","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses comprehensive literature review to show correctional education reduces recidivism, improves employment, saves costs; focuses on incarcerated adults and links education to outcomes. Discusses human‑capital benefits and policy relevance, but lacks detailed program design and original longitudinal data.","Based on a comprehensive literature review, the authors examined the association between correctional education and reductions in recidivism, improvements in employment upon release from prison, and the cost-effectiveness of correctional education.","A comprehensive literature review indicates that correctional education programs significantly improve job prospects and reduce recidivism rates. These programs are also cost-effective, saving taxpayer dollars through their benefits. The study highlights the positive association between correctional education and improvements in employment upon release from prison."
"An Analysis of Entrepreneurial Education in the Criminal Justice System","https://scispace.com/paper/an-analysis-of-entrepreneurial-education-in-the-criminal-4sv7js20d4","2017","Dissertation","","Austin Powell","","https://scispace.com/pdf/an-analysis-of-entrepreneurial-education-in-the-criminal-4sv7js20d4.pdf","- **Relevance Score:** 94/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses correctional education data to show inmates with postsecondary study earn higher incomes and recidivism definitions; links education to reduced re‑offending and better employment; focuses on prisoners; discusses human‑capital benefits, but lacks cost analysis, detailed curriculum, long‑term follow‑up, and explicit policy recommendations.","Currently, American federal and state prisons release more than 600,000 offenders each year that contribute to the estimated 70 million or more Americans that have some form of criminal record. By holding a criminal record, successful reentry for offenders are difficult because the criminal record serves as a barrier to public benefits. There are many correctional education programs designed to help offenders while in prison to overcome these barriers. Entrepreneurial education programs are becoming more popular, due to the positive recidivism and post-release employment results. The purpose of this study is to compare entrepreneurial education to other programs while analyzing the components that make the program successful. This thesis concludes that entrepreneurial education programs utilize logotherapy components derived from Viktor Frankl’s psychotherapy to achieve lower recidivism and higher post-release employment rates. To draw this conclusion, this thesis presents a literature review which contains information regarding the current criminal justice system, and the current educational programs offered. Furthermore, the analysis of entrepreneurial education developed after an in-depth review of phenomenology and Viktor Frankl’s logotherapy.",""
"Vocational Training in Correctional Facilities Assessing its Role in Reducing Recidivism and Enhancing Employability","https://scispace.com/paper/vocational-training-in-correctional-facilities-assessing-its-437oz22u8m55","2024","Repository","Social Science Research Network","Aliandra Harahap
Ekawahyu Kasih
Ruslaini Ruslaini","10.2139/ssrn.4905398","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4905398","- **Relevance Score:** 94/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vocational training in prisons to assess recidivism reduction and post‑release employment, linking outcomes to education; discusses skill building, program design, and policy, but lacks cost analysis and long‑term follow‑up details.","",""
"The effects of correctional education in vocational training on employment opportunities in Central and Northern Wisconsin for ex-offenders upon release","https://scispace.com/paper/ADJEh-QMEWwJ","","","","M Simoneau","","https://minds.wisconsin.edu/bitstream/handle/1793/81328/2020labsj.pdf?sequence=1","- **Relevance Score:** 91/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vocational training in prison to boost post‑release employment; links human‑capital theory to outcomes; focuses on ex‑offenders; mentions recidivism reduction but lacks detailed measurement; provides limited program details and policy discussion; no cost analysis or long‑term follow‑up.","",""
"Asociaciones entre la reincidencia en prisión y las experiencias laborales y educativas durante la privación de libertad","https://scispace.com/paper/asociaciones-entre-la-reincidencia-en-prision-y-las-15qonyghcywx","2024","Journal Article","Revista brasileira de segurança pública","Rafael Galvão de Souza
André Braz Golgher
Bráulio Figueiredo Alves da Silva","10.31060/rbsp.2024.v18.n2.1880","","- **Relevance Score:** 88/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses prison‑based work and education programs to show 14% and 32% recidivism reductions over five years; focuses on inmates, links education to outcomes, suggests policy relevance, but lacks employment data and detailed cost or curriculum info.","This essay investigates the impact of inmates’ work and educational programs on recidivism rates over nearly five years for prisoners released from Santa Catarina prisons. Three methods were used to analyze recidivism and to control for self-selection bias and non-observable heterogeneity: propensity score matching, Cox, and frailty models. The frailty model showed that participation in work and educational programs reduced the odds of recidivism by 14% and 32%, respectively. This study suggests that programs are being carried out in Santa Catarina that may effectively impact prisoners’ rehabilitation. ",""
"Assessing the Impact of Prison Industries on Post-Release Employment and Recidivism of Florida Inmates","https://scispace.com/paper/assessing-the-impact-of-prison-industries-on-post-release-f7sch6ixii","2005","","","Robin Leigh Richardson","","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses PRIDE vocational training to boost post‑release employment; measures recidivism (no effect); focuses on Florida inmates; links program to outcomes; mentions skill building but lacks cost analysis, detailed curriculum, and extensive policy discussion.","The deskilling of labor and the loss of social networking has accounted for part of the crime problem in recent decades. Vocational training and other correctional programming is meant to reverse the effects of these problems by providing inmates with usable, legal, and employable skills. Over the last five to ten years, the role of rehabilitative services has become highly questionable. The lack of confidence in such services has led to a decline in the number and type of prison programming available to inmates. In addition, fiscal concerns on the part of privately owned correctional industries have sharpened this decline. This paper reports results of an evaluation performed on PRIDE Enterprises, one of the largest providers of privately operated inmate vocational training in Florida, in regards to its effect on inmates' post release employment and recidivism. This study found that working in the vocational program, PRIDE, significantly increases the likelihood of the participant being employed after release. This study also found that PRIDE has no direct effect on recidivism.%%%%A Thesis Submitted to the College of Criminology and Criminal Justice in Partial Fulfillment of the Requirements for the Degree of Master of Science.%%%%Summer Semester, 2005.%%%%July 6, 2005.%%%%Vocational Training, Life Course, Social Capital, Recidivism%%%%Gordon Waldo, Professor Directing Thesis; William Bales, Committee Member; Marc Gertz, Committee Member.",""
"Vocational education and training provision and recidivism in Queensland correctional institutions","https://scispace.com/paper/vocational-education-and-training-provision-and-recidivism-co0ahqw2ug","2005","Journal Article","National Centre for Vocational Education Research","Callan Victor
John Gardner","","https://scispace.com/pdf/vocational-education-and-training-provision-and-recidivism-co0ahqw2ug.pdf","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows VET reduces recidivism among Queensland prisoners; links education to outcomes; lacks employment data, cost analysis, and detailed implementation; suggests policy support for VET.","Victor Callan and John Gardner examine links between prisoners' participation in the vocational education and training (VET) programs available within the Queensland prison system and their chances of returning to prison. The findings reveal that being involved in VET before initial release decreases the chances of returning to prison from 32 per cent to 23 per cent. Nevertheless, particular attention needs to be given to designing a comprehensive range of programs targeted at meeting the needs of individual prisoner groups, particularly for Indigenous prisoners. The research supports efforts to promote the value of VET and its role in prisoner rehabilitation, and to reduce barriers to accessing VET in correctional centres.",""
