"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Education in the Workplace: The Military Experience. A Report on the Conference on the Role of Education in Restructuring Defense and Other Industries ( Washington, D.C., May 16, 1991).","https://scispace.com/paper/education-in-the-workplace-the-military-experience-a-report-rx5n8pf4iq","1991","","","Martha V. Gottron","","https://scispace.com/pdf/education-in-the-workplace-the-military-experience-a-report-rx5n8pf4iq.pdf","","unqualified displace on the job ladder those with even less education and few, if any, job skills. Many of these are likely to be teenagers or young adults who have dropped out of high school and who are already on the margins of American society. Effects on Job Opportunities:
 The picture is much brighter for the newly released who take with them the training and education benefits they received while in the militaiy. Effects on Job Opportunities:
 For many the training will have been extensive. After a few weeks of boot camp, recruits are given school training in particular military occupational skills This training can last from one month to more than a year, depending on how specialized the occupation is. Recruits are then assigned to units for on-the-job training, where they acquire about half of their skill proficiency. This training is reinforced throughout their career and can be supplemented with courses on advanced equipment, supervision, and other subjects. Effects on Job Opportunities:
 Service members are also encouraged to continue their education while on active duty through tuition assistance for study at accredited postsecondary institutions. (Education opportunities for those who stay in the military, box, p. 11) The services also assist personnel enrolled in nontraditional education programs to obtain college credit for service school courses and training Service members who sign up for veterans benefits may use those benefits either while they are still in the service or once they leave to help pay tuition and support at colleges or certified training schools. Effects on Job Opportunities:
 In fiscal 1989, service members used tuition assistance to enroll in 513,397 undergraduate and 55,460 graduate courses. Some 100,000 credit examinations were administered, and military personnel earned some 400,000 semester hours of credit that may be transferable to college programs. Effects on Job Opportunities:
 Many service members leaving the military will directly enter the civilian labor market. Many of them will be well prepared. At least one-fourth to one-half of au military skills have direct civilian counter. parts; some researchers put that percentage even higher. As one conference participant noted, ""Even for those skills where no civilian counterparts exist, completion of military training can have a 'credentialing' effect and provide evidence of characteristics desirable to civilian employees."" Effects on Job Opportunities:
 Other newly released service members may opt to combine school with work or to go to &tool full-time. Veterans benefits can be used for vocational and technical education, college study, work-study, on-the-job training, and correspondence courses, although most benefits are used at two-and four-year schools. Data collected in the 1980s showed that veterans concentrated their studies on construction, engineering technologies, and mechanical repair. Effects on Job Opportunities:
 In 1990, 204,000 active and reserve service personnel and veterans used education benefits to help pay for schooling. Although fewer than 25,000 of these were active-duty personnel using benefits under the Montgomery GI Bill, more than 1 million service members about three-fourths of the total had already signed up to participate in the program. How many veterans will take advantage of their benAfits is unknown, although the Department of Veterans Affairs estimates that 400,000 vets could be using their benefits by 1995."
"Comparing Active Duty and Transitional Military Veteran Students' Evaluation of Online Distance Higher Education Learning Environments","https://scispace.com/paper/comparing-active-duty-and-transitional-military-veteran-3gwluyqao0","2018","","","Sherry Crissman","","https://scispace.com/pdf/comparing-active-duty-and-transitional-military-veteran-3gwluyqao0.pdf","Active duty service members’ participation in non-traditional higher education designed for veterans and other non-traditional adults can be uniquely impacted by their unpredictable military schedules, geographic instability, and frequently limited access to technology needed to complete course requirements while in remote areas. The purpose of this study was to examine whether active duty undergraduates differed significantly regarding their attitudes toward distance learning and their perceptions of the distance learning environment compared to veterans and non-traditional adults. This causal comparative study examined adult students’ perceptions after participating in 200-level undergraduate education delivered online at a private four-year institution based on their current status as active duty, veteran, or non-military nontraditional student using the Distance Education Learning Environment Survey. ANOVA was used to compare overall enjoyment of distance learning. MANOVA examined differences among groups regarding instructor support, personal relevance, and student autonomy. Participants included 203 online undergraduates who completed a 200-level general education course during the Spring 2017 semester. There was no significant difference between active duty members and veterans regarding enjoyment of distance learning, and no significant differences among groups for instructor support, personal relevance, and student autonomy. Based on the literature, there is a need to develop an instrument focused specifically on evaluating institutional and programmatic barriers. A mixed-methods approach that builds on existing literature regarding issues faced by active duty military students could result in the development of such an instrument.","GI Bill . Military Participants in Higher Education: Recent changes in legislation regarding benefits for participating in voluntary education have become major contributing factors affecting that affect both the long-term retention of active duty service members in addition to the more common consideration as a recruitment incentive . Military Participants in Higher Education:
 The Post-9/11 Veterans Education Assistance Act of 2008 (or Post-9/11 GI Bill) that went into effect in 2009 is referred to by  as the most generous offered to date for service members and their families. The new legislation caused education institutions to be effectively overwhelmed by military affiliated students, with over 300,000 service members electing to use their new benefits during the first year the program was in effect . Military Participants in Higher Education:
 Many institutions are responding to the increasing demand generated by the Post-9/11 GI Bill through directed marketing of adult degree completion programs intended to align with current trends in employment opportunities, or based on related military experience . Furthermore, the growth of online asynchronous instruction has directly resulted in increased institutional outreach to military populations. Sixty four percent of military tuition assistance benefits were reportedly used for online instruction during fiscal year 2010 . Military Participants in Higher Education:
 Success at serving an expanding military student population. For military students, continuing their training with civilian higher education is seen as a means for capitalizing on the knowledge and skill acquired through both the formal and informal experience they gained while serving, however,  refers to the 2012 United States Census in estimating 71% of active duty and service veterans had not achieved an earned bachelor's degree at the time of the report, indicating their mere participation in formal education did not always result in successful degree completion. According to the National Center for Education Statistics in 2014, while most colleges and universities have military students enrolled, the support they receive can vary substantially . Military Participants in Higher Education:
 At the time of their study,  reported only one percent of all military-affiliated students were active duty service members, and only three percent were service veterans, indicating the remaining population consisted of military spouses and dependents. The percentages for actual military members is alarmingly low considering the extent to which voluntary education efforts are supported through tuition benefits and increased advancement potential . Service branches clearly recognize how formal education enhances technical skill and professional competencies such as leadership . The low statistic perhaps indicates existing learning environments and structures for accessing higher education fail to address the needs of adult military students, specifically those on active duty . Consequently, military education benefits may be of greater utility to the member's spouse and children. Military Participants in Higher Education:
 Despite the significant increase in use of military education benefits reported on their campuses,  indicate less than half of the 690 institutions participating in their study provided intentional training for their faculty and staff related to issues specific to both active duty and service veterans. Studies addressing best practices for serving military students  begin to define the challenges they face, but clearly assert most approaches by schools have been less than strategic . The authors further contend how failing to address the needs of this unique population no doubt results in unfavorable experiences for students, faculty, and advisors seeking to retain struggling students , leaving institutions dealing with disproportionately high rates of disenrollment for these otherwise very task-oriented, high-achieving individuals."
"Employment Policies for Post 9/11 Veterans: Lessons Learned and a Vision for the Future","https://scispace.com/paper/employment-policies-for-post-9-11-veterans-lessons-learned-4z1t5u0mnh","2016","","","Simeon John-Armando Switzer","","https://scispace.com/pdf/employment-policies-for-post-9-11-veterans-lessons-learned-4z1t5u0mnh.pdf","The purpose of this research is to examine the positive aspects of governmental employment policies for veterans, with a specific focus on veterans that have deployed overseas since September 11, 2001. This research draws upon mostly statistics from the Bureau of Labor and Statistics and from the outcomes of the different governmental employment programs for veterans throughout history. The major findings of this research shows that the unemployment gap between veterans and non-veterans is significant. The analysis revealed that a community-based approach to veteran employment was most effective in aiding veterans’ employment searches and positive outcomes. This research will provide valuable guidelines in developing a vision for future governmental employment policies for veterans.","employment, money management, and health education"" . The unique benefit of this program is that it helps veterans after their initial transitional period. Currently, the program is tailored to National Guard and Reserve soldiers who have returned home after a deployment to Iraq or Afghanistan. Federal Veteran Employment Policies:
 On November 21, 2011, President Barack Obama signed legislation called the VOW to Hire Heroes Act of 2011, with the mission to end veteran unemployment. This legislation has many provisions. Firstly, it mandated that servicemembers participate in TAP and expanded the types of sessions the program provides. Secondly, it expanded education and training for unemployed veterans through additional GI Bill and Vocational Rehabilitation eligibility. Thirdly, it allowed servicemembers to obtain federal veteran preferences before their discharge date. Lastly, it created two different veterans tax credits for all veterans and disabled veterans. ""The Returning Heroes Tax Credit provides businesses that hire unemployed veterans with a credit of up to $5,600 per veteran, and the Wounded Warriors Tax Credit offers a credit of $9,600 per veteran for businesses that hire veterans with service-connected disabilities"" . The tax credits initially expired at the close of 2013 but were extended to the close of 2014. Federal Veteran Employment Policies:
 Federal education programs have also given Post 9/11 veterans a boost in the labor market. On June 30, 2008, Congress passed the Post 9/11 Veterans Educational Assistance Act of 2008, which went into effect August 1, 2009. This is commonly referred to as the Post 9/11 GI Bill. This three-year educational program offers 100% tuition assistance, as well as a living and book stipend for veterans who have served more than 36 months of active duty service after September 10, 2001. ""Over one million veterans received Veterans Affairs Educational Benefits in 2013 through the Post 9/11 GI Bill and with the increasing volume of service members separating from the military, the number of educational beneficiaries is expected to reach two million before 2020"" . Veteran Challenges to Employment:
 Despite the many federal employment policies for veterans, Post 9/11 veterans are still facing employment challenges once they transition out of the military. One primary challenge is the lack of transferrable skills. When an individual joins the military, recruiters communicate to them that their military experience will set them up for success in the civilian world upon their discharge. While some veterans gain transferrable skills, such as military intelligence, mechanics, etc., many do not acquire these attributes. One employer stated: Veteran Challenges to Employment:
 In the military there's areas of highest unemployment like 11Bravo, which is infantry. Those don't match at all with the job openings we have…We have the IT-related jobs here, and there are a lot of IT in the military, but that's still a small piece of the pie, and the IT people leaving the military, for this group unemployment is low, whereas you look at combat arms, that is where the unemployment is. ) Secondary to the missions in Iraq and Afghanistan, combat military operation specialties (MOS) make up a large percentage of the servicemembers that are attempting to enter the labor force. While their accomplishments are not to be diminished, the tangible military skills they have gained are not highly demanded in the civilian world."
"A Case Study of Combat Student Veteran Success in Higher Education","https://scispace.com/paper/a-case-study-of-combat-student-veteran-success-in-higher-3zavoj68p4","2021","","","Mona Fazzina","","https://scispace.com/pdf/a-case-study-of-combat-student-veteran-success-in-higher-3zavoj68p4.pdf","","McGinnis, thank you for showing me the value of using resources at the Jerry Falwell Library at Liberty University. *Deceased: To our beloved Jaz who provided near-constant companionship, with frequent and necessary respites from reading and writing. *Deceased:
 To my dear mother Mabel Benedict and sister Lina Moeller. Thank you for believing in me and often reminding me that I was like Dad. I think that was a compliment! Finally, to my husband David Fazzina. Thank you for your integrity, humility, altruism, and Christlikeness. For showing by example that doing our utmost for the Lord Jesus Christ means that nothing we do need ever be tainted by a desire for the spotlight. The life laid down does not seek human applause. Overview:
 Some student veterans struggle with transitioning from the military to the higher education environment. There is limited understanding regarding factors conducive to the success of student veterans and particularly of those who have suffered cognitive injuries. This paper outlines this problem with recommendations and suggestions for faculty, ancillary staff, and administrative staff at universities to increase retention, learning outcomes, and positive contributions to student veterans. To that end, this chapter discusses the issue of student veterans in higher education against the background of the institutional, relational, and internal factors that serve to support this nontraditional student demographic. The background consists of the historical, social, and theoretical context for student veterans in higher education. This chapter also includes the purpose and problem statements, the research questions, and definitions of key terms used throughout the present study. Background:
 This section outlines the historical context that describes the reason for the influx of student veterans in higher education, the social context that outlines financial and political themes surrounding student veterans, and the theoretical context that focuses on theories used in student veteran literature. Historical Context:
 The signing into law of the Servicemen's Readjustment Act (also known as the GI Bill) in 1944 and the end of World War II gave rise to an increase in the student veteran population on college campuses. Later, the signing into law of the Post-9/11 GI Bill in 2008 further increased the ranks of student veterans in higher education (U.S. Department of Veterans . Historical Context:
 Through these bills, the Department of Veterans Affairs has provided educational benefits to veterans and their families by equipping them to learn and develop professional skills in preparation for civilian life. Governmental provision of educational benefits for veterans is a way of compensating American veterans for military service . The Servicemen's Readjustment Act of 1944, which was the original GI Bill, put into place the programs and benefits that focus on helping veterans transition from the military into civilian life. These benefits included unemployment benefits, business loans, home loans, and educational opportunities. It was the educational benefit, and a vital part of the GI Bill . The GI Bill has provided educational assistance to service members, veterans, and their dependents through stipends for tuition and other expenses for college or trade schools. Initially, more than 2.2 million veterans pursued a college education between 1946 and 1950 . This increased access to higher education for veterans and their families resulted in 5.2 million veterans, or 28% of all veterans, completing a postsecondary degree or credential between 1992 and 2017 ."
"Life after service for post-9/11 veterans: Data, methods, and policy impacts","https://scispace.com/paper/life-after-service-for-post-9-11-veterans-data-methods-and-2z2jj80fxl","2016","","","Justin Stockton Gardner","10.34917/10083142","https://scispace.com/pdf/life-after-service-for-post-9-11-veterans-data-methods-and-2z2jj80fxl.pdf","......................................................................................................................................... iii Acknowledgements ........................................................................................................................ iv Dedication ....................................................................................................................................... v Table of","Census, U.S. Department of Labor and the annual American Community Survey, which is reported as part of the ACS-PUMS. Veteran education literature presents discussions of programs and experiences that connect to other substantive policy areas with a direct connection to employment. Education:
 Available education measures that have variables to determine veteran or active duty military service enable researchers to assess education outcomes such as degree achievement, which includes attending college level coursework without achieving a degree. The expansions to the G.I. Bill over the past two decades and specifically as a result of the Post-9/11 benefit programs have increased access for veterans to higher education, but success rates in terms of degree achievement remain undeterminable as compared to the non-military civilian population. Related literature indicates the U.S. Military's reliance on an All Voluntary Force (AVF) has led to rapid and broad expansion of educational benefits as both a recruitment and retention incentive (Smith-Osborne, 2012, p. 4). Education:
 Similar to other veteran benefit areas, education benefits available to more recent era service members have improved as a result of lessons learned and increased awareness in mental health, disability services, and support programs.  explained the entrance of World War II veterans onto higher education campuses as welcomed increases to enrollment. Following the transition of Vietnam veterans to campuses through similar benefits and programs, veterans were first recognized as a unique student group . Smith-Osborne ( ) developed research investigations related to this ""uniqueness"" of veteran student populations with specific attention to available programs and program outcomes. She found, ""some colleges now have other services 'bundled' to provide targeted or enhanced services for student veterans"" (Smith-Osborne, 2012, p. 7). Education:
 A specific program, TRIO Veterans Upward Bound, was investigated by a Congressional Research Service study in 2014 led by Benjamin Collins. They described the program as a fullservice academic preparatory program to support at-risk veteran students who are either lowincome or first generation college students as they access higher education as part of their G.I. Bill benefits . Pursuant to the Veteran Upward Bound and summarized by : Education:
 The program defines a veteran who is at-risk for academic failure as an individual who has been out of high school or dropped out of a program of postsecondary education for five or more years; has scored on standardized tests below the level that demonstrates a likelihood of success in a program of postsecondary education, or meets the definition of an individual with a disability (p. 16). Education:
 As presented by , this type of program structure is imperative for not only academic success, but also reintegration into both work environments and civilian communities. Education:
 Her findings suggest colleges and universities need increased services and programs for veterans similar to the Veteran Upward Bound  or Combat2Classes at Montgomery College (Maryland) that provides veteran-only courses and support programs similar to those offered to incoming freshman classes (Smith-Osborne, 2012, p. 7)."
"The Relationship Between Training Program Participation and Gainful Civilian Employment of Gulf War-Era II Veterans","https://scispace.com/paper/the-relationship-between-training-program-participation-and-3q1vqitluq","2019","Journal Article","","Candace Rae Flatt
Delmar Rhodes","10.21061/JVS.V4I2.113","https://scispace.com/pdf/the-relationship-between-training-program-participation-and-3q1vqitluq.pdf","The GI Bill of Rights has helped millions of veterans with their transition into civilian employment through education and training programs. In addition to higher education benefits, the GI Bill provides educational assistance for vocational training, entrepreneurship courses, apprenticeships, on-the-job training, and remedial courses. Compared to previous studies, this study is unique in three aspects. First, this study focuses on training programs completed by veterans rather than higher education. Second, the training categories are constructed based on job-specific versus general properties of human capital theory. Finally, the study captures all training programs completed by veterans regardless of provider or sponsoring organization by using the National Longitudinal Survey of Youth 1997 (NLSY97) . Generalized linear mixed models are used to determine the relationship between the type of training program and gainful employment. Pre-employment training programs were found to be positively related to the gainful employment of Gulf War-Era II veterans.","serving in the military, they also face unique employment barriers. Some of these employment barriers include non-transferable military skills, inability to successfully communicate relevant military training to civilian employers, potential for mental health disabilities, and reluctance to ask for assistance or support . Human capital theory:
 The GI Bill, as well as most education policies, is based on human capital theory. According to Schultz (1961), expenditures on human capital are comprised of both consumption and investment components. To isolate the investment component of human capital expenditure, the change in human capital expenditure is the focus. For example, a calculation of the change in earnings associated with the completion of a training program isolates the investment component of the human capital expenditure. In essence, a change in expenditure allocation-not the total rate-alters the rate of return. Direct expenditures on education, health, internal migration, forgone earnings, and on-thejob training were all viewed by Schultz as investments in human capital. Human capital theory:
 The essence of human capital theory can be simply stated as investments by individuals in education and training programs that lead to increased income.  distinguishes between general human capital and job-specific human capital. Whereas general human capital is transferable to any organization, job-specific human capital consists of skills unique to the job. The distinction of training in specific skills as a form of human capital extends the investment decision to organizations. Just as individuals invest in general skills to better themselves, organizations invest in training specific skills to increase employee productivity and ultimately profits. Job-specific skills increase an individual's productivity solely for that particular organization. In contrast, an investment in general skills increases an individual's productivity in any organization . Veteran training programs:
 Training benefits for qualified service members and military veterans who served on active duty after September 10, 2001 (9/11) are established in the Post-9/11 GI Bill. The August 2017-July 2018 payment allowance for tuition and fees for training and education programs that do not lead to a degree is $22,805.34. In addition, veterans are eligible for a housing allowance and $83 per month for books and supplies. Participants in apprenticeships and OTJ training programs receive a housing allowance and the $83 monthly stipend for books and supplies. Students enrolled in flight or correspondence training programs are not eligible for the housing or book allowances, but are eligible to receive the tuition and fees benefit-$13,031.61 for flight training and $11,076.86 for correspondence training . Training programs covered by veteran benefits have varying purposes with varying degrees of job-specific human capital. The programs reviewed in this section are divided into school-based training programs, pre-employment training programs, and post-employment training programs. Veteran training programs:
 School-based training consists of basic instruction to address education and training deficits. Examples of school-based education include remedial courses and General Education Development (GED) preparation. A high school diploma is generally a minimum requirement for enlistment. Prior to 9/11, nearly 100% of enlistees had a high school diploma. National Public Radio (NPR) reported that the percent of enlistees with a high school diploma dropped to 79% post-9/11 ."
"Where Failure Is Not the Option - The Military Friendly College: Exploring Student Service Members' and Student Veterans' Perceptions of Climate, Transition and Camaraderie","https://scispace.com/paper/where-failure-is-not-the-option-the-military-friendly-z3t9y1siwm","2015","Dissertation","","Leilani Teresa Roberts Browning","10.33915/ETD.5270","https://scispace.com/pdf/where-failure-is-not-the-option-the-military-friendly-z3t9y1siwm.pdf","Where Failure Is Not the Option The Military Friendly College: Exploring Student Service Members’ and Student Veterans’ Perceptions of Climate, Transition and Camaraderie Leilani Teresa Roberts Browning This research explored the extent to which the campus climate at a military friendly college or university promoted student service members’ and student veterans’ success of their time to degree in transition following separation from the Armed Forces and the impact of this specific climate on the cultivation of camaraderie in higher education. A mixed methods design incorporated focus group narratives from seven participants (n =7) and information from a webbased survey completed by one hundred and seventy respondents (n =170). Triangulation of qualitative and quantitative data resulted in complementary information and insight of the military friendly school phenomenon at seven colleges and universities. All five branches of the Armed Forces were represented in the sample. Data analysis revealed that support services needed at each campus provoked students’ varying endorsement of the military friendly brand in addition to the manifested services and support already in place. Accommodations most requested by the military and veteran community on campus included: a veteran’s lounge, priority registration, and credit for courses and training completed during active military commitment and at other higher education institutions. Students reported varied degrees of support during transition and excelled for the most part in academic commitment. Many maintained they would succeed in college performance and graduate. Few participants considered failure of this goal. Some found a supportive network of camaraderie among military and veteran peers when involved in on-campus coursework. Camaraderie among focus group members was attributed as a viable factor toward students’ persistence, academic and social support. Survey respondents found that it was a source of encouragement and alleviated student isolation on campus for some. Education benefits offered through the GI Bill most often eased students’ college financial obligation. Plausible definitions for military friendly school and camaraderie were presented in the data.","Angela Derk Grabuloff, shared this point of view, ""It is one thing to say you're veteran friendly, but it's another thing to be."" Her higher education trajectory had been at a much touted military friendly university in her state . 3! ! !:
 The brand used in this exploratory study was military friendly in lieu of veteran friendly. This identified colleges and universities that specifically advertised and recruited students that had current or prior military experiences. This was an academic culture in which student service members expected to enter welcoming and supportive campus climates with programs and curriculum that had been approved by the VA and the Department of Defense (DOD), and use their GI Bill education benefits for tuition assistance without difficulty . 3! ! !:
 These institutions were veteran-centric in offering resources and services, and purported a network of support. With this in mind, and given the lack of empirical research on the military friendly institution phenomenon in higher education, it became important to seriously consider, How military friendly were colleges and universities? To what degree did they support the special needs, interests and success of contemporary student service Statement of the Problem:
 The problem under scrutiny was embedded in the classification of military friendly. Statement of the Problem:
 The term itself led to speculation that active military personnel and veterans of Iraq, Afghanistan, and other eras were participating in higher education, under a canopy of comprehensive services and resources, often being subsidized with GI Bill benefits or other military education funding (American Council on . Statement of the Problem:
 The military education market had become a prime source of revenue for colleges and universities dating back to World War II and the original GI Bill . Ever since August 1, 2009, reauthorization caused billions of dollars more in Post-9/11 GI Bill money to support academia throughout the United States. Service members had used education benefit payments that exceeded $17 billion since enactment. Benefits had been paid out to 702,576 individuals, and the institutions they attended . Co-sponsor of the Post-9/11 GI Bill, Senator Statement of the Problem:
 Chuck Hagel of Nebraska and later 24 th United States Secretary of Defense in 2013, viewed it as a key device toward accessibility of higher learning and a pivotal resource ""to reintegrate veterans back into society;  education does that about as well as any sphere in our society"" . Statement of the Problem:
 This legislation was evident of the bond that co-existed between higher education and the federal government to diversify educational opportunities, and multiply its positive effect for many without prior avenues to college. Beside other student subpopulations, higher education initiatives were especially directed at the needs, challenges, and barriers that impacted nontraditional students such as service members and student veterans (Advisory Committee on Student Financial Assistance [ACSFA], 2012). How they managed and performed within academic settings was important, as they were reflective of the democratic mix found in the U.S. population (U.S. Census Bureau, 2012; U.S. Department of Veterans Affairs, 2012). Military members' diversity was particularly germane in this inquiry."
"From Quiver to Quill, veteran transition to higher education","https://scispace.com/paper/from-quiver-to-quill-veteran-transition-to-higher-education-2jiqvqt5el","2018","","","Mark Walch","","https://scispace.com/pdf/from-quiver-to-quill-veteran-transition-to-higher-education-2jiqvqt5el.pdf","","military branch during their discharge process. This lack of knowledge leads veterans to receive varying levels of assistance. These issues are varied to a point where it is clear a single solution cannot address the scope of problems facing veterans in their transition to higher education. D. Significance of Project:
 Veteran assistance bills are frequently brought up in Congress, and many programs are subject to budgetary restrictions. Laws change, benefits change, and different benefits are introduced. It is in a student-veteran's best interest to stay current on developments; because of the national scale and the diverse population these benefits are extended to, an equally diverse breadth of academic disciplines can be inspired to contribute. The GI Bill and associated educational programs for veterans pose a large investment by the U.S. Therefore, it is a process that needs to be transparent. The military needs to understand the influence the GI Bill has in the recruitment and retention of enlistees. By researching one aspect of transition, this documentary will contribute information into the experiences of individual veterans. D. Significance of Project:
 The military uses documentary films for recruitment. I was shown documentaries on laser disk to aid in picking a job when I enlisted. Anticipating the receptiveness of veterans to video is based on the success of recruiting advertisements, and the propensity of military training facilities to include documentaries as a training device. Training content can be uniformly distributed and applied through documentaries, therefore not allowing deviations from standards or improper technique. Documentary film has helped shape veterans while in the military, and I believe this receptiveness to film can be maximized for informative and persuasive purposes. II. Review of Literature:
 As a basis for study on veteran transition, the literature review serves as a framework for the guidance of the documentary. The documentary will aim to influence veterans' decision making regarding their particular, albeit not totally unique, instances of transition from the military into higher education. First, aspects of the GI Bill are analyzed in order to understand what is available for veterans. Next, views on critical ethnography and rhetoric will be explored and discussed in terms of how they inform my use of documentary film as an effective medium of communication for this research. Context of the study:
 The transition of the U.S. military to an all-volunteer force has led to the current era where military service is seen as an occupational choice. The all-volunteer era of U.S. military service began in 1974 when then U.S. Congress and President Richard Nixon ended the draft, five years after he signed an amendment to the 1967 Selective Service Act, and after the unpopular Vietnam War continued to gain more criticism . The establishment of the all-volunteer force meant that the U.S. military had to entice recruits with the expansion of benefit and training incentives to compete with the civilian job market. According to Runey and Allen -both of whom are army colonels conducting research for the U.S. Army War Collegethe all-volunteer force has created pay and benefits packages which exceed that of average 18 year olds, especially with the establishment of the . These benefit packages are what has brought the veterans to college, but not what brought them to the military."
"Breaking Down Cultural Barriers to Military Entry into Higher Education.","https://scispace.com/paper/breaking-down-cultural-barriers-to-military-entry-into-5a8dk94745","2009","","","Michael J. Hollis","","https://scispace.com/pdf/breaking-down-cultural-barriers-to-military-entry-into-5a8dk94745.pdf","","and mental development in creating the Hollis Comps 18 whole human. Most military veterans do move onto other careers when they finish their service and many join simply to find the financing to be able to move on to something better. The U.S. Summary:
 Government has recently introduced the new Post-9/11 GI Bill to help those who have served in the last eight years handle this transition better as we are now expecting to see the largest number of veterans returning to school since the Vietnam War. President Obama recently stated, while discussing this new bill, that, ""The contributions that our service men and women can make to this nation do not end when they take off that uniform,"" Obama added. ""We owe a debt to all who serve. And when we repay that debt to those bravest Americans among us, then we are investing in our future. Not just their future, but also the future of our own country"" . I believe that this does recognize that we need to start preparing our universities for these new students and that ensuring their transition to civilian careers is in all of our best interest. We saw after WWI and Vietnam what happened when we neglected our soldiers returning from war. We must not let our own biases of what we feel academia should be keep us from achieving these goals. The Ivory Tower is not our own personal playground to have fun with the theoretical ideas of theory and social justice while not allowing other voices and viewpoints in. It belongs to the public and we need to serve the public, whoever they may be and wherever they may come from. Summary:
 Public service is the one thing that I think we can learn most from our soldier scholars. Proposal Summation:
 Problem: Breaking down cultural barriers to veteran integration into higher education through the removal of myths surrounding veterans and education. Hollis Comps 19:
 Needs Analysis: Growing number of veterans returning to school. New Post9/11 GI Bill signed this summer, largest change since WWII. Minimal knowledge of how to prepare from both veterans and professorate perspectives. Outcomes::
 o Benefits for soldiers: smoother transitions and higher degree completion rates for veterans leading to good jobs and careers. Outcomes::
 o Benefits for universities: improved enrollment of students in general and nontraditional students in particular. Added income from students and military GI Bill and tuition reimbursement programs. Outcomes::
 Evaluation: Determine dual participant self-assessments of effectiveness of cultural exchanges as aid. Compare quantitative data on whether participating veterans and universities have higher enrollment and degree completion rates."
"The Perceptions of Post 9/11 Veteran Students Who are Parents Regarding the Role of Institutional Services in Bachelor Degree Completion","https://scispace.com/paper/the-perceptions-of-post-9-11-veteran-students-who-are-3jin9w5u7f","2019","","","Alicia Marie Reddin","","https://scispace.com/pdf/the-perceptions-of-post-9-11-veteran-students-who-are-3jin9w5u7f.pdf","Currently there is a dearth in the literature surrounding the experiences of Veterans and individuals with children within higher education. The goal of this dissertation was to understand Veteran student parents’ perceptions of the ways in which their undergraduate institutions supported their completion of a bachelor’s degree. Semi-structured interviews were conducted with 15 individuals; this dissertation analyzes the findings of the 6 participants who were both Veteran students and parents concurrently. Narratives were constructed for each participant and resulted in the identification of four intersecting themes: relationships, institutional barriers, motivators, as well as barriers and threats. Special attention was paid to the ways in which students utilized institutional services and support structures within higher education and the ways in which those services contributed to student success. The research findings led way to the development of recommendations and applications for higher education institutions to better serve and support the graduation of Veteran student parents and other similar populations. Given the limited available research on Veteran student parents in higher education, this dissertation advances our understanding of the intersection of military status and parenthood within the educational context.","to be done to support the transition between community college and four-year institutions. Post WWII and the Public Support of Education: In his 2006 research Monroe also indicated a need for additional research that is focused on the unique experiences and needs of Veterans. Post WWII and the Public Support of Education:
 The Higher Education Act of 1965 encouraged college attendance, marketing education as a benefit to the nation , and the open admissions policy of 1970 enacted a non-competitive admissions process that promoted education in underprivileged communities, a change that made education accessible to Veterans living in those neighborhoods . Schools that leverage the open admissions policy are primarily junior and community colleges. The availability of open admission institutions increased as a result of the need for affordable tuition and financial aid packages. The American societal norm was shifting, and with it, there was an increase in accommodation for non-traditional students in academia , along with hopes that providing more resources for non-traditional students would decrease attrition rates . Accommodations like later class times, weekend programs, and courses taught in other locations besides the university allowed for a rise in non-traditional student enrollment. However, while there was a rise in nontraditional student enrollment in college , the rate at which they were graduating was much lower than that of traditional college students, leading to the realization that increasing access to higher education does not equate to successful graduation for non-traditional students, including Veterans. The Evolution of Student-Veteran Benefits:
 The history and evolution of the GI Bill has been widely summarized and discussed in the literature on Veteran students . During the 75-year span, the GI Bill has seen numerous small revisions, as well as major changes to the eligibility and programs offered. The following is a brief overview of the history of the GI Bill with a focus on the most recent Post-9/11 GI Bill. The Evolution of Student-Veteran Benefits:
 The Veterans Bill of Rights, since its conception, has consisted of three main benefits: education (GI Bill), housing (home loan), and income (unemployment insurance). The first key provision included four years of education or training with a payment of up to $500 per school year for tuition, fees, books and supplies, plus a monthly allowance to assist with housing. The second benefit provided Veterans with guaranteed loans for a home, farm, and business finance options with no down payment. The third feature was unemployment insurance (UI), which provided Veterans who had served a minimum of 90 days active duty with a weekly $20 stipend that was allowed for a maximum of one year while Veterans reintegrated and sought out employment (USDVA, 2018b)."
